time_d	clcaf	clcaf_and_ci	clcaf_ci
0	100.00	100.00	0.00
0.5	102.28	112.72	10.44
1.5	86.65	93.69	7.04
2.5	79.10	86.67	7.57
3.5	73.12	80.43	7.30
6.5	64.83	75.26	10.43
8.5	64.61	70.35	5.74
10.5	70.12	79.77	9.65
13.5	67.31	75.13	7.83

