study	smoking	px_caf	Frequency
Gunes2009	nonsmokers	0.15	1.00
Gunes2009	nonsmokers	0.25	1.00
Gunes2009	nonsmokers	0.35	12.00
Gunes2009	nonsmokers	0.45	27.00
Gunes2009	nonsmokers	0.55	14.00
Gunes2009	nonsmokers	0.65	14.00
Gunes2009	nonsmokers	0.75	12.00
Gunes2009	nonsmokers	0.85	3.00
Gunes2009	nonsmokers	0.95	5.00
Gunes2009	nonsmokers	1.05	2.00
Gunes2009	nonsmokers	1.15	1.00
Gunes2009	nonsmokers	1.25	1.00
Gunes2009	nonsmokers	1.35	0.00
Gunes2009	smokers	0.25	0.00
Gunes2009	smokers	0.35	1.00
Gunes2009	smokers	0.45	3.00
Gunes2009	smokers	0.55	8.00
Gunes2009	smokers	0.65	5.00
Gunes2009	smokers	0.75	4.00
Gunes2009	smokers	0.85	8.00
Gunes2009	smokers	0.95	5.00
Gunes2009	smokers	1.05	6.00
Gunes2009	smokers	1.15	5.00
Gunes2009	smokers	1.25	4.00
Gunes2009	smokers	1.35	2.00
Gunes2009	smokers	1.45	1.00
Gunes2009	smokers	1.55	0.00
Gunes2009	smokers	1.65	1.00

