study	time	px_caf	auc
Ryu2007	0.25	0.00	0.34
Ryu2007	0.25	0.03	0.30
Ryu2007	0.25	0.09	0.36
Ryu2007	0.25	0.04	0.38
Ryu2007	0.25	0.04	0.64
Ryu2007	0.25	0.09	0.67
Ryu2007	0.25	0.18	0.56
Ryu2007	0.25	0.20	0.48
Ryu2007	0.25	0.19	0.40
Ryu2007	0.25	0.33	0.61
Ryu2007	0.25	0.44	0.52
Ryu2007	0.25	0.45	0.32
Ryu2007	0.25	0.70	0.42
Ryu2007	0.25	0.90	0.46
Ryu2007	0.25	0.96	0.34
Ryu2007	0.25	1.05	0.29
Ryu2007	0.25	0.96	0.52
Ryu2007	0.25	1.09	0.55
Ryu2007	0.25	1.14	0.44
Ryu2007	0.25	1.23	0.44
Ryu2007	0.25	1.17	0.61
Ryu2007	0.25	1.70	0.67
Ryu2007	0.5	0.04	0.29
Ryu2007	0.5	0.09	0.28
Ryu2007	0.5	0.06	0.34
Ryu2007	0.5	0.10	0.32
Ryu2007	0.5	0.12	0.33
Ryu2007	0.5	0.09	0.36
Ryu2007	0.5	0.06	0.37
Ryu2007	0.5	0.09	0.39
Ryu2007	0.5	0.15	0.41
Ryu2007	0.5	0.13	0.43
Ryu2007	0.5	0.11	0.47
Ryu2007	0.5	0.08	0.55
Ryu2007	0.5	0.15	0.47
Ryu2007	0.5	0.16	0.51
Ryu2007	0.5	0.13	0.64
Ryu2007	0.5	0.16	0.61
Ryu2007	0.5	0.15	0.66
Ryu2007	0.5	0.21	0.60
Ryu2007	0.5	0.22	0.51
Ryu2007	0.5	0.32	0.54
Ryu2007	0.5	0.35	0.45
Ryu2007	0.5	0.41	0.44
Ryu2007	0.5	0.60	0.67
Ryu2007	1	0.05	0.30
Ryu2007	1	0.06	0.28
Ryu2007	1	0.10	0.31
Ryu2007	1	0.09	0.33
Ryu2007	1	0.10	0.37
Ryu2007	1	0.11	0.39
Ryu2007	1	0.12	0.36
Ryu2007	1	0.13	0.33
Ryu2007	1	0.13	0.41
Ryu2007	1	0.15	0.44
Ryu2007	1	0.12	0.47
Ryu2007	1	0.13	0.47
Ryu2007	1	0.15	0.51
Ryu2007	1	0.15	0.55
Ryu2007	1	0.19	0.45
Ryu2007	1	0.20	0.44
Ryu2007	1	0.25	0.51
Ryu2007	1	0.23	0.54
Ryu2007	1	0.25	0.61
Ryu2007	1	0.24	0.63
Ryu2007	1	0.23	0.66
Ryu2007	1	0.29	0.67
Ryu2007	1	0.31	0.60
Ryu2007	1.5	0.09	0.29
Ryu2007	1.5	0.11	0.28
Ryu2007	1.5	0.11	0.33
Ryu2007	1.5	0.12	0.31
Ryu2007	1.5	0.13	0.33
Ryu2007	1.5	0.13	0.37
Ryu2007	1.5	0.15	0.35
Ryu2007	1.5	0.16	0.38
Ryu2007	1.5	0.16	0.47
Ryu2007	1.5	0.17	0.47
Ryu2007	1.5	0.18	0.43
Ryu2007	1.5	0.18	0.41
Ryu2007	1.5	0.25	0.44
Ryu2007	1.5	0.24	0.45
Ryu2007	1.5	0.24	0.52
Ryu2007	1.5	0.20	0.55
Ryu2007	1.5	0.29	0.51
Ryu2007	1.5	0.28	0.54
Ryu2007	1.5	0.27	0.63
Ryu2007	1.5	0.32	0.61
Ryu2007	1.5	0.35	0.60
Ryu2007	1.5	0.33	0.66
Ryu2007	1.5	0.33	0.67
Ryu2007	2	0.11	0.28
Ryu2007	2	0.12	0.29
Ryu2007	2	0.14	0.33
Ryu2007	2	0.16	0.31
Ryu2007	2	0.18	0.33
Ryu2007	2	0.17	0.37
Ryu2007	2	0.19	0.35
Ryu2007	2	0.20	0.38
Ryu2007	2	0.23	0.41
Ryu2007	2	0.23	0.43
Ryu2007	2	0.21	0.46
Ryu2007	2	0.24	0.47
Ryu2007	2	0.27	0.44
Ryu2007	2	0.24	0.54
Ryu2007	2	0.28	0.51
Ryu2007	2	0.31	0.45
Ryu2007	2	0.32	0.51
Ryu2007	2	0.33	0.63
Ryu2007	2	0.36	0.67
Ryu2007	2	0.37	0.66
Ryu2007	2	0.38	0.61
Ryu2007	2	0.36	0.60
Ryu2007	2	0.37	0.54
Ryu2007	3	0.13	0.28
Ryu2007	3	0.14	0.29
Ryu2007	3	0.17	0.33
Ryu2007	3	0.19	0.31
Ryu2007	3	0.22	0.33
Ryu2007	3	0.21	0.37
Ryu2007	3	0.23	0.35
Ryu2007	3	0.24	0.38
Ryu2007	3	0.25	0.47
Ryu2007	3	0.27	0.41
Ryu2007	3	0.27	0.44
Ryu2007	3	0.29	0.47
Ryu2007	3	0.28	0.54
Ryu2007	3	0.32	0.44
Ryu2007	3	0.34	0.51
Ryu2007	3	0.37	0.45
Ryu2007	3	0.39	0.51
Ryu2007	3	0.39	0.63
Ryu2007	3	0.43	0.67
Ryu2007	3	0.44	0.65
Ryu2007	3	0.45	0.61
Ryu2007	3	0.43	0.60
Ryu2007	3	0.44	0.54
Ryu2007	4	0.20	0.28
Ryu2007	4	0.22	0.33
Ryu2007	4	0.24	0.31
Ryu2007	4	0.28	0.33
Ryu2007	4	0.30	0.34
Ryu2007	4	0.30	0.36
Ryu2007	4	0.33	0.37
Ryu2007	4	0.31	0.41
Ryu2007	4	0.33	0.43
Ryu2007	4	0.35	0.44
Ryu2007	4	0.38	0.46
Ryu2007	4	0.42	0.52
Ryu2007	4	0.44	0.50
Ryu2007	4	0.45	0.54
Ryu2007	4	0.43	0.55
Ryu2007	4	0.49	0.59
Ryu2007	4	0.52	0.61
Ryu2007	4	0.49	0.63
Ryu2007	4	0.56	0.67
Ryu2007	4	0.65	0.66
Ryu2007	5	0.23	0.29
Ryu2007	5	0.25	0.29
Ryu2007	5	0.27	0.31
Ryu2007	5	0.27	0.33
Ryu2007	5	0.29	0.35
Ryu2007	5	0.30	0.33
Ryu2007	5	0.35	0.36
Ryu2007	5	0.39	0.37
Ryu2007	5	0.38	0.39
Ryu2007	5	0.35	0.41
Ryu2007	5	0.38	0.43
Ryu2007	5	0.40	0.46
Ryu2007	5	0.43	0.48
Ryu2007	5	0.45	0.44
Ryu2007	5	0.47	0.51
Ryu2007	5	0.49	0.52
Ryu2007	5	0.49	0.55
Ryu2007	5	0.47	0.55
Ryu2007	5	0.59	0.60
Ryu2007	5	0.61	0.61
Ryu2007	5	0.68	0.63
Ryu2007	5	0.68	0.66
Ryu2007	5	0.65	0.67
Ryu2007	6	0.28	0.29
Ryu2007	6	0.30	0.29
Ryu2007	6	0.30	0.33
Ryu2007	6	0.34	0.35
Ryu2007	6	0.37	0.38
Ryu2007	6	0.37	0.33
Ryu2007	6	0.36	0.31
Ryu2007	6	0.43	0.35
Ryu2007	6	0.44	0.39
Ryu2007	6	0.43	0.41
Ryu2007	6	0.42	0.44
Ryu2007	6	0.42	0.46
Ryu2007	6	0.48	0.43
Ryu2007	6	0.50	0.51
Ryu2007	6	0.52	0.48
Ryu2007	6	0.54	0.47
Ryu2007	6	0.57	0.51
Ryu2007	6	0.60	0.54
Ryu2007	6	0.62	0.55
Ryu2007	6	0.65	0.60
Ryu2007	6	0.70	0.62
Ryu2007	6	0.82	0.66
Ryu2007	6	0.85	0.67
Ryu2007	6	0.89	0.63

