time	ios_e3174	auc
0-4 h	0.69	0.10
0-4 h	0.86	0.11
0-4 h	1.05	0.13
0-4 h	1.34	0.11
0-4 h	1.80	0.11
0-4 h	1.33	0.13
0-4 h	1.14	0.14
0-4 h	1.14	0.16
0-4 h	1.33	0.16
0-4 h	1.06	0.24
0-4 h	1.81	0.20
0-4 h	2.02	0.16
0-4 h	2.49	0.18
0-4 h	3.10	0.27
0-4 h	3.08	0.16
0-4 h	3.61	0.18
0-4 h	3.91	0.11
0-4 h	4.34	0.20
0-4 h	6.31	0.31
0-8 h	0.35	0.10
0-8 h	0.45	0.11
0-8 h	0.50	0.14
0-8 h	0.54	0.13
0-8 h	0.65	0.10
0-8 h	0.62	0.11
0-8 h	0.66	0.12
0-8 h	0.65	0.14
0-8 h	0.77	0.13
0-8 h	0.82	0.11
0-8 h	0.89	0.11
0-8 h	0.67	0.16
0-8 h	0.76	0.16
0-8 h	0.78	0.17
0-8 h	0.83	0.18
0-8 h	0.71	0.18
0-8 h	0.61	0.20
0-8 h	0.61	0.24
0-8 h	1.06	0.16
0-8 h	1.38	0.20
0-8 h	2.03	0.27
0-8 h	1.56	0.31
0-12 h	0.30	0.10
0-12 h	0.37	0.11
0-12 h	0.38	0.13
0-12 h	0.44	0.13
0-12 h	0.45	0.11
0-12 h	0.49	0.11
0-12 h	0.53	0.13
0-12 h	0.57	0.11
0-12 h	0.60	0.10
0-12 h	0.65	0.11
0-12 h	0.44	0.15
0-12 h	0.40	0.20
0-12 h	0.50	0.18
0-12 h	0.55	0.16
0-12 h	0.59	0.16
0-12 h	0.57	0.18
0-12 h	0.53	0.24
0-12 h	1.02	0.20
0-12 h	1.11	0.27
0-12 h	1.15	0.31

