study	time	metoprolol	metoprolol_SE	metoprolol_cocktail	metoprolol_cocktail_SE
Turpault 2009	0.0	0.2842	NA	5.68E-14	NA
Turpault 2009	0.5	39.5027	40.6394	52.0071	51.1545
Turpault 2009	1.0	92.3623	55.9858	96.0568	56.8384
Turpault 2009	2.0	78.4369	35.8082	76.1634	42.0604
Turpault 2009	3.0	68.4902	40.3552	61.1012	40.9236
Turpault 2009	4.0	53.1439	32.6821	49.1652	32.9663
Turpault 2009	5.0	NA	NA	39.5027	29.2718
Turpault 2009	6.0	33.8188	23.3037	29.2718	23.5879
Turpault 2009	7.0	NA	NA	24.1563	21.8828
Turpault 2009	8.0	21.0302	15.0622	18.4725	17.9041
Turpault 2009	12.0	7.3890	9.3783	7.6732	7.6732
Turpault 2009	24.0	0.2842	NA	5.68E-14	NA
Turpault 2009	48.0	0.5684	NA	0.2842	NA

