study	smoking	px_caf	Frequency
Dobrinas2011	smoking cessation	0.02	0
Dobrinas2011	smoking cessation	0.06373664	1
Dobrinas2011	smoking cessation	0.10862381	0
Dobrinas2011	smoking cessation	0.14025055	2
Dobrinas2011	smoking cessation	0.17678134	0
Dobrinas2011	smoking cessation	0.21266568	2
Dobrinas2011	smoking cessation	0.24609344	6
Dobrinas2011	smoking cessation	0.28295767	2
Dobrinas2011	smoking cessation	0.3165442	5
Dobrinas2011	smoking cessation	0.35947385	3
Dobrinas2011	smoking cessation	0.3892905	3
Dobrinas2011	smoking cessation	0.43320912	8
Dobrinas2011	smoking cessation	0.4682587	2
Dobrinas2011	smoking cessation	0.50413847	4
Dobrinas2011	smoking cessation	0.5377318	7
Dobrinas2011	smoking cessation	0.5696784	7
Dobrinas2011	smoking cessation	0.6080193	7
Dobrinas2011	smoking cessation	0.6445546	5
Dobrinas2011	smoking cessation	0.6802802	8
Dobrinas2011	smoking cessation	0.718612	8
Dobrinas2011	smoking cessation	0.7528563	7
Dobrinas2011	smoking cessation	0.78972286	3
Dobrinas2011	smoking cessation	0.8275647	6
Dobrinas2011	smoking cessation	0.8686865	2
Dobrinas2011	smoking cessation	0.89966	8
Dobrinas2011	smoking cessation	0.9414237	0
Dobrinas2011	smoking cessation	0.97124267	0
Dobrinas2011	smoking cessation	1.0153246	4
Dobrinas2011	smoking cessation	1.050052	0
Dobrinas2011	smoking cessation	1.0859364	2
Dobrinas2011	smoking cessation	1.1178875	2
Dobrinas2011	smoking cessation	1.1606538	1
Dobrinas2011	smoking cessation	1.1991466	0
Dobrinas2011	smoking cessation	1.2353554	0
Dobrinas2011	smoking cessation	1.2736939	0
Dobrinas2011	smoking cessation	1.3077728	0
Dobrinas2011	smoking cessation	1.3374329	1
Dobrinas2011	smoking cessation	1.3779014	1
Dobrinas2011	smoking cessation	1.420661	0
Dobrinas2011	smoking cessation	1.4632548	0
Dobrinas2011	smoking cessation	1.512243	0
Dobrinas2011	smoking cessation	1.5676256	0
Dobrinas2011	smoking cessation	1.603832	0
Dobrinas2011	smoking cessation	1.652818	0
Dobrinas2011	smoking cessation	1.7060684	0
Dobrinas2011	smoking cessation	1.7529267	0
Dobrinas2011	smoking cessation	1.8019127	0
Dobrinas2011	smoking cessation	1.8486167	1
Dobrinas2011	smoking cessation	1.8913693	0
Dobrinas2011	smoking cessation	1.9318379	0
Dobrinas2011	smoking cessation	1.9765708	0

