study	smoking	px_caf	Frequency
Dobrinas2011	smoker	0.02	0
Dobrinas2011	smoker	0.07	0
Dobrinas2011	smoker	0.12	0
Dobrinas2011	smoker	0.18	3
Dobrinas2011	smoker	0.22	0
Dobrinas2011	smoker	0.28	1
Dobrinas2011	smoker	0.32	2
Dobrinas2011	smoker	0.37	7
Dobrinas2011	smoker	0.42	1
Dobrinas2011	smoker	0.46	4
Dobrinas2011	smoker	0.52	2
Dobrinas2011	smoker	0.56	4
Dobrinas2011	smoker	0.61	9
Dobrinas2011	smoker	0.66	7
Dobrinas2011	smoker	0.71	4
Dobrinas2011	smoker	0.76	11
Dobrinas2011	smoker	0.80	6
Dobrinas2011	smoker	0.85	13
Dobrinas2011	smoker	0.90	6
Dobrinas2011	smoker	0.95	11
Dobrinas2011	smoker	1.00	12
Dobrinas2011	smoker	1.05	11
Dobrinas2011	smoker	1.09	8
Dobrinas2011	smoker	1.14	11
Dobrinas2011	smoker	1.19	11
Dobrinas2011	smoker	1.24	5
Dobrinas2011	smoker	1.29	7
Dobrinas2011	smoker	1.34	6
Dobrinas2011	smoker	1.38	2
Dobrinas2011	smoker	1.43	1
Dobrinas2011	smoker	1.48	0
Dobrinas2011	smoker	1.53	5
Dobrinas2011	smoker	1.58	3
Dobrinas2011	smoker	1.62	2
Dobrinas2011	smoker	1.67	2
Dobrinas2011	smoker	1.72	1
Dobrinas2011	smoker	1.77	3
Dobrinas2011	smoker	1.81	0
Dobrinas2011	smoker	1.86	1
Dobrinas2011	smoker	1.92	1
Dobrinas2011	smoker	1.96	3
Dobrinas2011	smoker	2.01	0
Dobrinas2011	smoker	2.05	1
Dobrinas2011	smoker	2.10	1
Dobrinas2011	smoker	2.16	0
Dobrinas2011	smoker	2.20	1
Dobrinas2011	smoker	2.25	2
Dobrinas2011	smoker	2.30	0
Dobrinas2011	smoker	2.34	1
Dobrinas2011	smoker	2.39	1
Dobrinas2011	smoker	2.44	0
Dobrinas2011	smoker	2.49	0
Dobrinas2011	smoker	2.54	1
Dobrinas2011	smoker	2.59	0

