study	enzyme 	abundance	abundance_sd	abundance_cv	abundance_min	abundance_max	n_livers
Archour2014b	CYP1A2	29.4	29.6	100.8	2.9	103.9	24
Archour2014b	CYP2A6	62.8	43.8	69.8	13.6	190.8	24
Archour2014b	CYP2B6	38.9	46.8	120.4	1.1	173.7	24
Archour2014b	CYP2C8	18.9	16.4	86.7	4.4	79.4	24
Archour2014b	CYP2C9	40	26	64.9	17.2	139.1	23
Archour2014b	CYP2C18	0.4	0.15	38.4	0.2	0.7	24
Archour2014b	CYP2D6	11.9	13.2	11.5	0.1	62.4	24
Archour2014b	CYP2J2	1.2	0.7	62.1	0.3	2.9	24
Archour2014b	CYP3A4	68.1	52.3	76.9	10.4	262.1	24
Archour2014b	CYP3A5	14.2	16.3	115.1	0.6	57.2	23
Archour2014b	CYP3A7	7.6	16.6	219.1	0.2	79.6	23
Archour2014b	CYP3A43	0.35	0.19	53.5	0.1	0.8	23
Archour2014b	CYP4F2	11.9	5.5	46.5	1	24.2	24

