study	time	caffeine	caffeine_SE	caffeine_cocktail	caffeine_cocktail_SE
Turpault 2009	0.0	240.2135	421.7082	234.8754	225.9786
Turpault 2009	0.5	2236.6548	688.6120	2316.7260	677.9360
Turpault 2009	1.0	2188.6120	523.1317	2051.6013	419.9287
Turpault 2009	2.0	1857.6512	432.3844	1813.1672	441.2811
Turpault 2009	3.0	1638.7900	437.7225	1571.1743	434.1637
Turpault 2009	4.0	1451.9573	405.6939	1379.0035	441.2811
Turpault 2009	5.0	NA	NA	1247.3309	444.8398
Turpault 2009	6.0	1067.6156	389.6798	1069.3950	459.0747
Turpault 2009	7.0	NA	NA	905.6940	402.1353
Turpault 2009	8.0	832.7402	357.6513	774.0214	341.6370
Turpault 2009	12.0	469.7509	234.8754	485.7651	316.7260
Turpault 2009	24.0	117.4377	85.4093	115.6584	138.7900

