study	enzyme	abundance
Archour2014b	CYP2C8	17.558
Archour2014b	CYP2C11	24.352
Archour2014b	CYP2C11	27.863
Archour2014b	CYP2C11	26.221
Archour2014b	CYP2C11	30.818
Archour2014b	CYP2C11	30.650
Archour2014b	CYP2C11	34.716
Archour2014b	CYP2C11	35.364
Archour2014b	CYP2C11	39.978
Archour2014b	CYP2C11	40.416
Archour2014b	CYP2C11	52.489
Archour2014b	CYP2C11	52.017
Archour2014b	CYP2C11	54.106
Archour2014b	CYP2C11	63.872
Archour2014b	CYP2C11	61.691
Archour2014b	CYP2C11	136.075
Archour2014b	CYP2D6	0.000
Archour2014b	CYP2D6	3.339
Archour2014b	CYP2D6	3.482
Archour2014b	CYP2D6	13.787
Archour2014b	CYP2D6	13.072
Archour2014b	CYP2D6	26.365
Archour2014b	CYP2D6	33.690
Archour2014b	CYP2D6	58.375
Archour2014b	CYP3A4	5.840
Archour2014b	CYP3A4	19.690
Archour2014b	CYP3A4	17.307
Archour2014b	CYP3A4	22.931
Archour2014b	CYP3A4	29.944
Archour2014b	CYP3A4	30.407
Archour2014b	CYP3A4	44.122
Archour2014b	CYP3A4	40.738
Archour2014b	CYP3A4	42.548
Archour2014b	CYP3A4	48.273
Archour2014b	CYP3A4	49.477
Archour2014b	CYP3A4	57.879
Archour2014b	CYP3A4	63.671
Archour2014b	CYP3A4	73.901
Archour2014b	CYP3A4	72.806
Archour2014b	CYP3A4	76.906
Archour2014b	CYP3A4	84.854
Archour2014b	CYP3A4	86.622
Archour2014b	CYP3A4	89.342
Archour2014b	CYP3A4	130.722
Archour2014b	CYP3A4	135.159
Archour2014b	CYP3A4	258.323
Archour2014b	CYP3A5	0.933
Archour2014b	CYP3A5	0.000
Archour2014b	CYP3A5	0.000
Archour2014b	CYP3A5	5.934
Archour2014b	CYP3A5	11.061
Archour2014b	CYP3A5	10.051
Archour2014b	CYP3A5	15.776
Archour2014b	CYP3A5	19.194
Archour2014b	CYP3A5	21.383
Archour2014b	CYP3A5	27.672
Archour2014b	CYP3A5	24.372
Archour2014b	CYP3A5	31.764
Archour2014b	CYP3A5	42.624
Archour2014b	CYP3A5	54.647
Archour2014b	CYP3A7	15.389
Archour2014b	CYP3A7	0.000
Archour2014b	CYP3A7	0.000
Archour2014b	CYP3A7	0.000
Archour2014b	CYP3A7	0.000
Archour2014b	CYP3A7	0.000
Archour2014b	CYP3A7	2.045
Archour2014b	CYP3A7	8.376
Archour2014b	CYP3A7	9.622
Archour2014b	CYP3A7	14.665
Archour2014b	CYP3A7	75.410
Archour2014b	CYP4F2	0.000
Archour2014b	CYP4F2	2.821
Archour2014b	CYP4F2	3.890
Archour2014b	CYP4F2	0.000
Archour2014b	CYP4F2	6.356
Archour2014b	CYP4F2	10.246
Archour2014b	CYP4F2	15.382
Archour2014b	CYP4F2	21.115
Archour2014b	CYP4F2	12.081
Archour2014b	CYP4F2	19.524
Archour2014b	CYP2C18	0.218
Archour2014b	CYP2C18	0.148
Archour2014b	CYP2C18	0.199
Archour2014b	CYP2C18	0.239
Archour2014b	CYP2C18	0.459
Archour2014b	CYP2C18	0.270
Archour2014b	CYP2C18	0.356
Archour2014b	CYP2C18	0.339
Archour2014b	CYP2C18	0.303
Archour2014b	CYP2C18	0.366
Archour2014b	CYP2C18	0.414
Archour2014b	CYP2C18	0.454
Archour2014b	CYP2C18	0.523
Archour2014b	CYP2C18	0.494
Archour2014b	CYP2C18	0.539
Archour2014b	CYP2C18	0.490
Archour2014b	CYP2C18	0.547
Archour2014b	CYP2C18	0.531
Archour2014b	CYP2C18	0.749
Archour2014b	CYP2C18	0.725
Archour2014b	CYP2J2	0.292
Archour2014b	CYP2J2	0.293
Archour2014b	CYP2J2	0.387
Archour2014b	CYP2J2	0.471
Archour2014b	CYP2J2	0.513
Archour2014b	CYP2J2	0.588
Archour2014b	CYP2J2	0.601
Archour2014b	CYP2J2	0.598
Archour2014b	CYP2J2	0.847
Archour2014b	CYP2J2	0.883
Archour2014b	CYP2J2	0.899
Archour2014b	CYP2J2	0.918
Archour2014b	CYP2J2	0.976
Archour2014b	CYP2J2	1.021
Archour2014b	CYP2J2	1.241
Archour2014b	CYP2J2	1.259
Archour2014b	CYP2J2	1.269
Archour2014b	CYP2J2	1.547
Archour2014b	CYP2J2	1.692
Archour2014b	CYP2J2	1.745
Archour2014b	CYP2J2	1.743
Archour2014b	CYP2J2	2.177
Archour2014b	CYP2J2	2.738
Archour2014b	CYP2J2	2.877
Archour2014b	CYP3A43	0.029
Archour2014b	CYP3A43	0.045
Archour2014b	CYP3A43	0.115
