study	time	caffeine	caffeine_SE	caffeine_fluvoxamine	caffeine_fluvoxamine_SE	paraxanthine	paraxanthine_SE	paraxanthine_fluvoxamine	paraxanthine_fluvoxamine_SE	fluvoxamine	fluvoxamine_SE	fluvoxamine_caffeine	fluvoxamine_caffeine_SE
CulmMerdek2005	-0.5	0.1432836	0.0716418	1.432836	0.465672	0.1725	0.0886	0.3667	0.1274	56.4252	14.3692	38.9019	14.7196
CulmMerdek2005	0.5	4.3343280	0.9552240	5.289552	1.050747	0.5781	0.1181	0.3667	0.1212	NA	NA	NA	NA
CulmMerdek2005	1.0	5.1940300	0.5014923	7.128358	0.788060	0.9355	0.1305	0.3792	0.1212	90.0701	17.5234	67.2897	23.4813
CulmMerdek2005	1.5	4.7761190	0.3343290	7.032836	0.811940	1.0816	0.0995	0.3761	0.1274	NA	NA	NA	NA
CulmMerdek2005	2.0	4.5253730	0.3223880	7.259702	0.620895	1.3116	0.1305	0.3730	0.1150	108.6449	23.8318	77.4533	21.7290
CulmMerdek2005	2.5	4.3462687	0.3343283	7.414926	0.752238	1.4048	0.1181	0.3543	0.1026	NA	NA	NA	NA
CulmMerdek2005	3.0	3.9402986	0.2626867	6.913433	0.704478	1.4732	0.1243	0.3419	0.1088	101.6355	16.8224	84.1122	21.3785
CulmMerdek2005	4.0	3.5582090	0.3462686	6.961194	0.656716	1.6628	0.1057	0.3419	0.0901	96.0280	15.0701	82.3598	23.8318
CulmMerdek2005	5.0	3.0089552	0.3701492	6.770149	0.662687	1.7249	0.0746	0.3450	0.0870	NA	NA	NA	NA
CulmMerdek2005	6.0	2.5074627	0.3223880	6.626866	0.656716	1.7467	0.0932	0.3450	0.0839	92.5234	28.0374	100.9346	23.8318
CulmMerdek2005	8.0	1.9701493	0.3104477	6.519403	0.662686	1.6939	0.1026	0.3543	0.0839	114.6028	29.0888	88.6682	19.9766
CulmMerdek2005	24.0	0.2746269	0.1074627	5.540299	0.817911	0.5097	0.1523	0.4320	0.0559	78.1542	18.9252	88.3178	24.1823


