study	panel	N	gender	ethnicity	smoker	oc	px_caf_log	frequency	px_caf
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.083	0	1.09
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.094	0	1.10
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.107	1	1.11
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.120	0	1.13
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.134	1	1.14
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.150	4	1.16
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.169	1	1.18
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.190	8	1.21
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.210	15	1.23
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.238	14	1.27
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.267	20	1.31
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.298	25	1.35
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.335	10	1.40
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.378	18	1.46
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.428	10	1.53
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.474	5	1.61
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.529	8	1.70
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.598	3	1.82
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.672	5	1.96
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.750	2	2.12
Ghotbi2007	Fig1AK	150	all	Koreans	all	all	0.842	0	2.32
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.085	0	1.09
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.095	0	1.10
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.106	1	1.11
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.120	0	1.13
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.133	1	1.14
Ghotbi2007	Fig1BK	122	all	Koreans	nonsmokers	all	0.149	3	1.16
