study	tissue	caf_abstinence	time	px_caf
Perera2011	plasma	24h	1	0.2013
Perera2011	plasma	24h	2	0.2619
Perera2011	plasma	24h	4	0.4534
Perera2011	plasma	24h	6	0.6828
Perera2011	plasma	24h	8	0.8147
Perera2011	plasma	24h	10	0.9955

