study	name	group	source	format	figure	weight	weight_unit	age	age_unit	sex
Abernethy1985			Abernethy1985_Fig2.csv		Abernethy1985_Fig2.png					
Akinyinka2000	col==subject	col==group	Akinyinka2000_Tab1.csv	TSV	Akinyinka2000_Tab1.png	col==weight	kg	col==age	yr	col==sex
Fuhr1993a			Fuhr1993a_Tab1.csv		Fuhr1993a_Tab1.png					
Ghassabian2009			Ghassabian2009_Tab5.csv		Ghassabian2009_Tab5.png					
Granfors2005			Granfors2005_Fig7B.csv		Granfors2005_Fig7B.png					
Haller2002			Haller2002_Tab3.csv		Haller2002_Tab3.png					
Joeres1988			Joeres1988_Fig1.csv		Joeres1988_Fig1.png					
Kaplan1997			Kaplan1997_Tab1.csv		Kaplan1997_Tab1.png					
Parsons1978			Parsons1978_Tab2.csv		Parsons1978_Tab2.png					
ZylberKatz1984			ZylberKatz1984_Tab1.csv		ZylberKatz1984_Tab1.png					
ZylberKatz1984			ZylberKatz1984_Tab2.csv		ZylberKatz1984_Tab2.png					
