study	px_plasma	px_salvia
Akinyinka2000	0.0133	0.0147
Akinyinka2000	0.0225	0.0776
Akinyinka2000	0.1239	0.0260
Akinyinka2000	0.2117	0.0182
Akinyinka2000	0.2112	0.1187
Akinyinka2000	0.2760	0.1317
Akinyinka2000	0.2866	0.2846
Akinyinka2000	0.3114	0.2911
Akinyinka2000	0.3181	0.1006
Akinyinka2000	0.3523	0.1406
Akinyinka2000	0.3639	0.1092
Akinyinka2000	0.3636	0.1700
Akinyinka2000	0.4531	0.2041
Akinyinka2000	0.5376	0.1104
Akinyinka2000	0.5651	0.2970
Akinyinka2000	0.6441	0.1739
Akinyinka2000	0.6201	0.3581
Akinyinka2000	0.5872	0.4500
Akinyinka2000	0.7120	0.3168
Akinyinka2000	0.7152	0.4236
Akinyinka2000	0.7669	0.3905
Akinyinka2000	0.8320	0.3511
Akinyinka2000	0.8994	0.2385
Akinyinka2000	0.8469	0.4141
Akinyinka2000	0.9400	0.4859
Akinyinka2000	1.0459	0.3190
Akinyinka2000	1.1950	0.2844
Akinyinka2000	0.9144	0.6344
Akinyinka2000	1.1244	0.6211
Akinyinka2000	1.3697	0.4364
Akinyinka2000	1.3404	0.5577
Akinyinka2000	1.1273	0.7803
Akinyinka2000	1.2636	0.9865
Akinyinka2000	1.5762	0.3603
Akinyinka2000	2.2657	0.6058

