study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	time	time_unit	sd	min	max	median
Hetzler1990	55695	concentration	µg/ml	plasma	2304	caffeine			1851.0	4.66e+03	2.00e+02	1.36e-01			6.32e+02			
Hetzler1990	55697	concentration	µg/ml	plasma	2304	caffeine			1851.0	4.34e+03	2.00e+02	1.46e-01			6.32e+02			
Hetzler1990	55699	concentration	µg/ml	plasma	2304	caffeine			1851.0	3.82e+03	2.00e+02	1.65e-01			6.32e+02			
Hetzler1990	55701	concentration	µg/ml	plasma	2304	caffeine			1851.0	3.37e+03	1.70e+02	1.60e-01			5.38e+02			
Hetzler1990	55703	concentration	µg/ml	plasma	2304	caffeine			1851.0	3.32e+03	2.20e+02	2.10e-01			6.96e+02			
Hetzler1990	55705	concentration	µg/ml	plasma	2304	caffeine			1851.0	3.03e+03	1.80e+02	1.88e-01			5.69e+02			
Hetzler1990	55707	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	8.00e+01	6.99e+01	2.76e+00			2.21e+02			
Hetzler1990	55709	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	2.40e+02	6.99e+01	9.21e-01			2.21e+02			
Carbo1989	54353	ratio	-	urine	2202	paraxanthine/caffeine			1823.0	4.77e+00	1.17e+00		24.0	h				
Benowitz2003	54004	clearance	l/h	plasma	2191	chlorzoxazone			1816.0	2.38e+01	1.99e+00	2.90e-01			6.90e+00			
Benowitz2003	54006	clearance	l/h/kg	plasma	2191	chlorzoxazone			1816.0	2.88e-01	1.73e-02	2.08e-01			6.00e-02			
Benowitz2003	54008	thalf	h	plasma	2191	chlorzoxazone			1816.0	1.04e+00	4.33e-02	1.45e-01			1.50e-01			
Benowitz2003	54010	cmax	µg/ml	plasma	2191	chlorzoxazone			1816.0	4.90e+00	3.46e-01	2.45e-01			1.20e+00			
Benowitz2003	54012	tmax	h	plasma	2191	chlorzoxazone			1816.0	1.15e+00	9.62e-02	2.90e-01			3.33e-01			
Benowitz2003	54022	recovery	-	urine	2191	6-hydroxychlorzoxazone			1816.0	5.36e-01	3.70e-02	2.39e-01	24.0	h	1.28e-01			
Benowitz2003	54024	clearance	l/h	urine	2191	6-hydroxychlorzoxazone			1816.0	1.26e+01	1.35e+00	3.71e-01	24.0	h	4.68e+00			
Benowitz2003	54046	clearance	l/h	plasma	2190	caffeine			1816.0	7.50e+00	9.01e-01	4.16e-01			3.12e+00			
Carbo1989	54354	ratio	-	urine	2202	theophylline/caffeine			1823.0	1.01e+00	2.30e-01		24.0	h				
Hetzler1990	55711	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	4.30e+02	9.01e+01	6.63e-01			2.85e+02			
Hetzler1990	55713	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	6.00e+02	9.01e+01	4.75e-01			2.85e+02			
Hetzler1990	55715	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	6.80e+02	6.99e+01	3.25e-01			2.21e+02			
Hetzler1990	55717	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	7.10e+02	6.99e+01	3.11e-01			2.21e+02			
Hetzler1990	55719	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	8.60e+02	9.01e+01	3.31e-01			2.85e+02			
Hetzler1990	55721	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	1.01e+03	6.01e+01	1.88e-01			1.90e+02			
Hetzler1990	55723	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	1.05e+03	5.00e+01	1.50e-01			1.58e+02			
Hetzler1990	55725	concentration	µg/ml	plasma	2304	paraxanthine			1851.0	1.15e+03	8.00e+01	2.20e-01			2.53e+02			
Hetzler1990	55726	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0									
Hetzler1990	55728	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	2.80e+01	8.85e+00	1.00e+00			2.80e+01			
Hetzler1990	55730	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	7.60e+01	1.64e+01	6.84e-01			5.20e+01			
Hetzler1990	55732	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	1.13e+02	1.90e+01	5.31e-01			6.00e+01			
Hetzler1990	55734	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	1.46e+02	1.61e+01	3.49e-01			5.10e+01			
Hetzler1990	55736	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	1.64e+02	1.77e+01	3.41e-01			5.60e+01			
Hetzler1990	55738	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	2.25e+02	2.62e+01	3.69e-01			8.30e+01			
Hetzler1990	55740	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	3.00e+02	2.34e+01	2.47e-01			7.40e+01			
Hetzler1990	55742	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	3.16e+02	2.59e+01	2.59e-01			8.20e+01			
Hetzler1990	55744	ratio	-	plasma	2304	paraxanthine/caffeine			1851.0	3.80e+02	3.48e+01	2.89e-01			1.10e+02			
Granfors2005	55090	ratio	-	plasma	2222	caffeine/paraxanthine	7413.0	7.30e-01					6.0	h				
Seng2009	56390	clearance	l/h	plasma	2324	caffeine			1879.0	4.96e+00	6.70e-01	5.23e-01			2.60e+00			
Granfors2005	55091	ratio	-	plasma	2222	caffeine/paraxanthine	7414.0	8.00e-01					6.0	h				
Granfors2005	55092	ratio	-	plasma	2222	caffeine/paraxanthine	7415.0	1.01e+00					6.0	h				
Seng2009	56392	clearance	l/h/kg	plasma	2324	caffeine			1879.0	7.26e-02	8.68e-03	4.63e-01			3.36e-02			
Granfors2005	55093	ratio	-	plasma	2222	caffeine/paraxanthine	7416.0	1.32e+00					6.0	h				
Granfors2005	55094	ratio	-	plasma	2222	caffeine/paraxanthine	7417.0	1.08e+00					6.0	h				
Granfors2005	55095	ratio	-	plasma	2222	caffeine/paraxanthine	7418.0	1.18e+00					6.0	h				
Granfors2005	55096	ratio	-	plasma	2222	caffeine/paraxanthine	7419.0	8.30e-01					6.0	h				
Granfors2005	55097	ratio	-	plasma	2222	caffeine/paraxanthine	7420.0	1.38e+00					6.0	h				
Seng2009	56394	thalf	h	plasma	2324	caffeine			1879.0	4.86e+00	4.11e-01	3.27e-01			1.59e+00			
Granfors2005	55098	ratio	-	plasma	2222	caffeine/paraxanthine	7421.0	1.68e+00					6.0	h				
Granfors2005	55099	ratio	-	plasma	2222	caffeine/paraxanthine	7422.0	1.58e+00					6.0	h				
Granfors2005	55100	ratio	-	plasma	2222	caffeine/paraxanthine	7423.0	2.39e+00					6.0	h				
Seng2009	56396	vd	l	plasma	2324	caffeine			1879.0	4.02e+01	7.76e+00	7.47e-01			3.01e+01			
Granfors2005	55101	ratio	-	plasma	2222	caffeine/paraxanthine	7424.0	2.56e+00					6.0	h				
Granfors2005	55102	ratio	-	plasma	2222	caffeine/paraxanthine	7425.0	2.31e+00					6.0	h				
Seng2009	56398	vd	l/kg	plasma	2324	caffeine			1879.0	9.50e-01	1.19e-01	4.84e-01			4.60e-01			
Seng2009	56400	auc_end	mg*h/l	plasma	2324	caffeine			1879.0	5.09e+01	8.79e+00	6.69e-01	24.0	h	3.40e+01			
Seng2009	56402	clearance	l/h	plasma	2325	caffeine			1879.0	4.91e+00	8.11e-01	6.40e-01			3.14e+00			
Seng2009	56404	clearance	l/h/kg	plasma	2325	caffeine			1879.0	6.66e-02	1.38e-02	8.02e-01			5.34e-02			
Seng2009	56406	thalf	h	plasma	2325	caffeine			1879.0	5.56e+00	5.58e-01	3.88e-01			2.16e+00			
Seng2009	56408	vd	l	plasma	2325	caffeine			1879.0	4.74e+01	1.24e+01	1.02e+00			4.82e+01			
Seng2009	56410	vd	l/kg	plasma	2325	caffeine			1879.0	6.60e-01	1.81e-01	1.06e+00			7.00e-01			
Seng2009	56412	auc_end	mg*h/l	plasma	2325	caffeine			1879.0	7.26e+01	1.14e+01	6.07e-01	24.0	h	4.41e+01			
Seng2009	56414	clearance	l/h	plasma	2324	caffeine			1880.0	1.13e+01	1.14e+00	5.57e-01			6.27e+00			
Seng2009	56416	clearance	l/h/kg	plasma	2324	caffeine			1880.0	1.69e-01	1.93e-02	6.26e-01			1.06e-01			
Seng2009	56418	thalf	h	plasma	2324	caffeine			1880.0	4.21e+00	2.59e-01	3.37e-01			1.42e+00			
Seng2009	56420	vd	l	plasma	2324	caffeine			1880.0	4.93e+01	9.35e+00	1.04e+00			5.12e+01			
Seng2009	56422	vd	l/kg	plasma	2324	caffeine			1880.0	1.05e+00	1.55e-01	8.10e-01			8.50e-01			
Seng2009	56424	auc_end	mg*h/l	plasma	2324	caffeine			1880.0	2.31e+01	3.05e+00	7.24e-01	24.0	h	1.67e+01			
Seng2009	56426	clearance	l/h	plasma	2325	caffeine			1880.0	7.98e+00	5.59e-01	3.84e-01			3.06e+00			
Seng2009	56428	clearance	l/h/kg	plasma	2325	caffeine			1880.0	1.21e-01	9.86e-03	4.48e-01			5.40e-02			
Seng2009	56430	thalf	h	plasma	2325	caffeine			1880.0	5.12e+00	1.97e-01	2.11e-01			1.08e+00			
Seng2009	56432	vd	l	plasma	2325	caffeine			1880.0	4.88e+01	4.59e+00	5.15e-01			2.52e+01			
Seng2009	56434	vd	l/kg	plasma	2325	caffeine			1880.0	7.50e-01	7.85e-02	5.73e-01			4.30e-01			
Seng2009	56436	auc_end	mg*h/l	plasma	2325	caffeine			1880.0	4.61e+01	3.45e+00	4.11e-01	24.0	h	1.89e+01			
Seng2009	56438	clearance	l/h	plasma	2324	caffeine			1878.0	4.84e+00	6.90e-01	5.33e-01			2.58e+00			
Carbo1989	54355	ratio	-	urine	2202	theobromine/caffeine			1823.0	1.86e+00	2.80e-01		24.0	h				
Akinyinka2000	52765	thalf	h	plasma	2171	caffeine	7175.0	5.70e+00										
Akinyinka2000	52766	thalf	h	plasma	2171	caffeine	7176.0	7.00e+00										
Seng2009	56440	clearance	l/h/kg	plasma	2324	caffeine			1878.0	1.09e-01	1.07e-02	3.70e-01			4.02e-02			
Akinyinka2000	52767	thalf	h	plasma	2171	caffeine	7177.0	8.50e+00										
Akinyinka2000	52768	thalf	h	plasma	2171	caffeine	7178.0	4.10e+00										
Akinyinka2000	52769	thalf	h	plasma	2171	caffeine	7179.0	1.48e+01										
Akinyinka2000	52770	thalf	h	plasma	2171	caffeine	7180.0	1.00e+01										
Akinyinka2000	52771	thalf	h	plasma	2171	caffeine	7181.0	7.40e+00										
Akinyinka2000	52772	thalf	h	plasma	2171	caffeine	7182.0	4.20e+00										
Akinyinka2000	52773	thalf	h	plasma	2171	caffeine	7183.0	6.60e+00										
Akinyinka2000	52774	thalf	h	plasma	2171	caffeine	7184.0	4.00e+00										
Akinyinka2000	52775	thalf	h	plasma	2171	caffeine	7185.0	7.10e+00										
Akinyinka2000	52776	thalf	h	plasma	2171	caffeine	7186.0	6.00e+00										
Akinyinka2000	52777	thalf	h	plasma	2171	caffeine	7187.0	2.44e+01										
Seng2009	56442	thalf	h	plasma	2324	caffeine			1878.0	4.79e+00	6.01e-01	4.70e-01			2.25e+00			
Akinyinka2000	52778	thalf	h	plasma	2171	caffeine	7188.0	7.30e+00										
Akinyinka2000	52779	thalf	h	plasma	2171	caffeine	7189.0	8.50e+00										
Akinyinka2000	52780	thalf	h	plasma	2171	caffeine	7190.0	5.50e+00										
Akinyinka2000	52781	thalf	h	plasma	2171	caffeine	7191.0	8.20e+00										
Akinyinka2000	52782	thalf	h	plasma	2171	caffeine	7192.0	8.00e+00										
Seng2009	56444	vd	l	plasma	2324	caffeine			1878.0	5.12e+01	7.60e+00	5.55e-01			2.84e+01			
Akinyinka2000	52783	thalf	h	plasma	2171	caffeine	7193.0	9.70e+00										
Seng2009	56446	vd	l/kg	plasma	2324	caffeine			1878.0	8.50e-01	1.28e-01	5.65e-01			4.80e-01			
Seng2009	56448	auc_end	mg*h/l	plasma	2324	caffeine			1878.0	4.66e+01	3.65e+00	2.93e-01	24.0	h	1.37e+01			
Akinyinka2000	52784	thalf	h	plasma	2171	caffeine	7194.0	1.02e+01										
Seng2009	56450	clearance	l/h	plasma	2325	caffeine			1878.0	4.94e+00	9.06e-01	6.87e-01			3.39e+00			
Seng2009	56452	clearance	l/h/kg	plasma	2325	caffeine			1878.0	6.06e-02	1.23e-02	7.62e-01			4.62e-02			
Seng2009	56454	thalf	h	plasma	2325	caffeine			1878.0	5.12e+00	8.10e-01	5.92e-01			3.03e+00			
Akinyinka2000	52786	auc_inf	mg*h/l	plasma	2171	caffeine	7175.0	4.78e+01										
Seng2009	56456	vd	l	plasma	2325	caffeine			1878.0	4.42e+01	8.71e+00	7.37e-01			3.26e+01			
Seng2009	56458	vd	l/kg	plasma	2325	caffeine			1878.0	7.20e-01	1.50e-01	7.78e-01			5.60e-01			
Seng2009	56460	auc_end	mg*h/l	plasma	2325	caffeine			1878.0	6.58e+01	1.18e+01	6.68e-01	24.0	h	4.40e+01			
Akinyinka2000	52788	auc_inf	mg*h/l	plasma	2171	caffeine	7176.0	7.62e+01										
Akinyinka2000	52790	auc_inf	mg*h/l	plasma	2171	caffeine	7177.0	6.91e+01										
Akinyinka2000	52792	auc_inf	mg*h/l	plasma	2171	caffeine	7178.0	1.95e+01										
Carbo1989	54356	ratio	-	urine	2202	1X/theophylline			1823.0	8.42e+00	2.35e+00		24.0	h				
Akinyinka2000	52794	auc_inf	mg*h/l	plasma	2171	caffeine	7179.0	9.63e+01										
Akinyinka2000	52796	auc_inf	mg*h/l	plasma	2171	caffeine	7180.0	8.67e+01										
Akinyinka2000	52798	auc_inf	mg*h/l	plasma	2171	caffeine	7181.0	2.82e+01										
Akinyinka2000	52800	auc_inf	mg*h/l	plasma	2171	caffeine	7182.0	4.73e+01										
Akinyinka2000	52802	auc_inf	mg*h/l	plasma	2171	caffeine	7183.0	4.32e+01										
Akinyinka2000	52804	auc_inf	mg*h/l	plasma	2171	caffeine	7184.0	4.20e+01										
Akinyinka2000	52806	auc_inf	mg*h/l	plasma	2171	caffeine	7185.0	5.16e+01										
Akinyinka2000	52808	auc_inf	mg*h/l	plasma	2171	caffeine	7186.0	6.64e+01										
Akinyinka2000	52810	auc_inf	mg*h/l	plasma	2171	caffeine	7187.0	1.51e+02										
Akinyinka2000	52812	auc_inf	mg*h/l	plasma	2171	caffeine	7188.0	4.57e+01										
Akinyinka2000	52814	auc_inf	mg*h/l	plasma	2171	caffeine	7189.0	2.51e+01										
Akinyinka2000	52816	auc_inf	mg*h/l	plasma	2171	caffeine	7190.0	2.58e+01										
Renner1984	56262	thalf	h	plasma	2323	caffeine	7572.0	4.10e+00										
Renner1984	56263	thalf	h	plasma	2323	caffeine	7573.0	3.20e+00										
Renner1984	56264	thalf	h	plasma	2323	caffeine	7574.0	3.50e+00										
Renner1984	56265	thalf	h	plasma	2323	caffeine	7575.0	4.40e+00										
Renner1984	56266	thalf	h	plasma	2323	caffeine	7576.0	2.10e+00										
Renner1984	56268	clearance	l/h/kg	plasma	2323	caffeine			1874.0	4.02e-02	8.91e-03	6.27e-01			2.52e-02	8.40e-03	7.74e-02	
Renner1984	56270	vd	l/kg	plasma	2323	caffeine			1874.0	5.70e-01	4.95e-02	2.46e-01			1.40e-01	3.70e-01	7.20e-01	
Renner1984	56272	thalf	h	plasma	2323	caffeine			1874.0	1.75e+01	5.83e+00	9.43e-01			1.65e+01	4.50e+00	5.02e+01	
Healy1991	55603	cmax	µg/ml	plasma	2302	caffeine			1850.0	4.35e+00	1.58e-01	1.45e-01			6.30e-01			
Campbell1987a	54310	clearance	l/h/kg	plasma	2201	caffeine	7351.0	5.76e-02										
Lafolie1996	57757	recovery	-	urine	2350	codeine	7725.0	5.63e-01										
Campbell1987a	54312	clearance	l/h/kg	plasma	2201	caffeine	7352.0	7.08e-02										
Campbell1987a	54314	clearance	l/h/kg	plasma	2201	caffeine	7353.0	1.06e-01										
Campbell1987a	54316	clearance	l/h/kg	plasma	2201	caffeine	7354.0	1.55e-01										
Campbell1987a	54318	clearance	l/h/kg	plasma	2201	caffeine	7355.0	9.12e-02										
Campbell1987a	54320	clearance	l/h/kg	plasma	2201	caffeine	7356.0	1.37e-01										
Campbell1987a	54322	clearance	l/h/kg	plasma	2201	caffeine	7357.0	9.36e-02										
Campbell1987a	54323	thalf	h	plasma	2201	caffeine	7343.0	8.30e+00										
Campbell1987a	54324	thalf	h	plasma	2201	caffeine	7344.0	1.21e+01										
Campbell1987a	54325	thalf	h	plasma	2201	caffeine	7345.0	9.00e+00										
Campbell1987a	54326	thalf	h	plasma	2201	caffeine	7346.0	8.60e+00										
Campbell1987a	54327	thalf	h	plasma	2201	caffeine	7347.0	8.10e+00										
Campbell1987a	54328	thalf	h	plasma	2201	caffeine	7348.0	9.50e+00										
Campbell1987a	54329	thalf	h	plasma	2201	caffeine	7349.0	6.00e+00										
Campbell1987a	54330	thalf	h	plasma	2201	caffeine	7350.0	7.50e+00										
Campbell1987a	54331	thalf	h	plasma	2201	caffeine	7351.0	5.60e+00										
Campbell1987a	54332	thalf	h	plasma	2201	caffeine	7352.0	5.40e+00										
Campbell1987a	54333	thalf	h	plasma	2201	caffeine	7353.0	5.30e+00										
Campbell1987a	54334	thalf	h	plasma	2201	caffeine	7354.0	2.20e+00										
Campbell1987a	54335	thalf	h	plasma	2201	caffeine	7355.0	5.20e+00										
Campbell1987a	54336	thalf	h	plasma	2201	caffeine	7356.0	3.60e+00										
Lafolie1996	57759	recovery	-	urine	2350	codeine	7726.0	6.22e-01										
Lafolie1996	57761	recovery	-	urine	2350	codeine	7727.0	7.60e-01										
Lafolie1996	57763	recovery	-	urine	2350	codeine	7728.0	8.18e-01										
Lafolie1996	57765	recovery	-	urine	2350	codeine	7729.0	9.84e-01										
Campbell1987a	54337	thalf	h	plasma	2201	caffeine	7357.0	3.90e+00										
Lafolie1996	57767	recovery	-	urine	2350	codeine	7730.0	8.98e-01										
Campbell1987a	54338	kel	1/h	plasma	2201	caffeine	7343.0	8.30e-02										
Lafolie1996	57769	recovery	-	urine	2350	codeine	7731.0	3.54e-01										
Campbell1987a	54339	kel	1/h	plasma	2201	caffeine	7344.0	5.70e-02										
Healy1991	55605	tmax	h	plasma	2302	caffeine			1850.0	7.80e-01	4.50e-02	2.31e-01			1.80e-01			
Healy1991	55607	thalf	h	plasma	2302	caffeine			1850.0	4.80e+00	2.75e-01	2.29e-01			1.10e+00			
Renner1984	56274	clearance	l/h/kg	plasma	2323	caffeine			1875.0	5.22e-02	8.39e-03	4.25e-01			2.22e-02	2.52e-02	7.98e-02	
Campbell1987a	54340	kel	1/h	plasma	2201	caffeine	7345.0	7.70e-02										
Healy1991	55609	clearance	ml/min/1.73m^2	plasma	2302	caffeine			1850.0	1.04e+02	5.45e+00	2.10e-01			2.18e+01			
Campbell1987a	54341	kel	1/h	plasma	2201	caffeine	7346.0	8.10e-02										
Healy1991	55611	auc_end	mg*h/l	plasma	2302	caffeine			1850.0	3.03e+01	1.73e+00	2.28e-01	24.0	h	6.90e+00			
Campbell1987a	54342	kel	1/h	plasma	2201	caffeine	7347.0	8.60e-02										
Campbell1987a	54343	kel	1/h	plasma	2201	caffeine	7348.0	7.30e-02										
Campbell1987a	54344	kel	1/h	plasma	2201	caffeine	7349.0	1.15e-01										
Campbell1987a	54345	kel	1/h	plasma	2201	caffeine	7350.0	9.30e-02										
Campbell1987a	54346	kel	1/h	plasma	2201	caffeine	7351.0	1.23e-01										
Campbell1987a	54347	kel	1/h	plasma	2201	caffeine	7352.0	1.28e-01										
Campbell1987a	54348	kel	1/h	plasma	2201	caffeine	7353.0	1.32e-01										
Campbell1987a	54349	kel	1/h	plasma	2201	caffeine	7354.0	3.12e-01										
Campbell1987a	54350	kel	1/h	plasma	2201	caffeine	7355.0	1.32e-01										
Campbell1987a	54351	kel	1/h	plasma	2201	caffeine	7356.0	1.93e-01										
Campbell1987a	54352	kel	1/h	plasma	2201	caffeine	7357.0	1.78e-01										
Lafolie1996	57771	recovery	-	urine	2350	codeine	7732.0	7.13e-01										
Lafolie1996	57773	recovery	-	urine	2350	codeine	7733.0	6.30e-01										
Lafolie1996	57775	recovery	-	urine	2350	codeine	7734.0	6.50e-01										
Lafolie1996	57777	recovery	-	urine	2350	codeine	7735.0	5.28e-01										
Lafolie1996	57779	recovery	-	urine	2350	codeine	7736.0	3.75e-01										
Lafolie1996	57781	recovery	-	urine	2350	codeine	7737.0	6.53e-01										
Lafolie1996	57783	recovery	-	urine	2350	morphine	7725.0	3.15e-02										
Lafolie1996	57785	recovery	-	urine	2350	morphine	7726.0	3.92e-02										
Lafolie1996	57787	recovery	-	urine	2350	morphine	7727.0	2.34e-02										
Lafolie1996	57789	recovery	-	urine	2350	morphine	7728.0	7.43e-02										
Lafolie1996	57791	recovery	-	urine	2350	morphine	7729.0	1.08e-01										
Lafolie1996	57793	recovery	-	urine	2350	morphine	7730.0	4.84e-02										
Lafolie1996	57795	recovery	-	urine	2350	morphine	7731.0	4.38e-02										
Lafolie1996	57797	recovery	-	urine	2350	morphine	7732.0	1.95e-02										
Lafolie1996	57799	recovery	-	urine	2350	morphine	7733.0	8.93e-02										
Lafolie1996	57801	recovery	-	urine	2350	morphine	7734.0	7.81e-02										
Lafolie1996	57803	recovery	-	urine	2350	morphine	7735.0	7.11e-02										
Lafolie1996	57805	recovery	-	urine	2350	morphine	7736.0	6.35e-02										
Lafolie1996	57807	recovery	-	urine	2350	morphine	7737.0	1.70e-02										
Lafolie1996	57809	ratio	-	urine	2350	morphine/codine	7725.0	5.60e-02										
Lafolie1996	57811	ratio	-	urine	2350	morphine/codine	7726.0	6.30e-02										
Lafolie1996	57813	ratio	-	urine	2350	morphine/codine	7727.0	3.10e-02										
Lafolie1996	57815	ratio	-	urine	2350	morphine/codine	7728.0	9.10e-02										
Lafolie1996	57817	ratio	-	urine	2350	morphine/codine	7729.0	1.10e-01										
Lafolie1996	57819	ratio	-	urine	2350	morphine/codine	7730.0	5.40e-02										
Lafolie1996	57821	ratio	-	urine	2350	morphine/codine	7731.0	1.24e-01										
Lafolie1996	57823	ratio	-	urine	2350	morphine/codine	7732.0	2.70e-02										
Lafolie1996	57825	ratio	-	urine	2350	morphine/codine	7733.0	1.42e-01										
Lafolie1996	57827	ratio	-	urine	2350	morphine/codine	7734.0	1.20e-01										
Lafolie1996	57829	ratio	-	urine	2350	morphine/codine	7735.0	1.35e-01										
Lafolie1996	57831	ratio	-	urine	2350	morphine/codine	7736.0	1.69e-01										
Lafolie1996	57833	ratio	-	urine	2350	morphine/codine	7737.0	2.60e-02										
Lafolie1996	57835	recovery	-	urine	2350	norcodeine	7725.0	1.72e-02										
Lafolie1996	57837	recovery	-	urine	2350	norcodeine	7726.0	2.38e-02										
Lafolie1996	57839	recovery	-	urine	2350	norcodeine	7727.0	5.14e-02										
Lafolie1996	57841	recovery	-	urine	2350	norcodeine	7728.0	4.09e-02										
Lafolie1996	57843	recovery	-	urine	2350	norcodeine	7729.0	1.60e-02										
Lafolie1996	57845	recovery	-	urine	2350	norcodeine	7730.0	3.52e-02										
Lafolie1996	57847	recovery	-	urine	2350	norcodeine	7731.0	1.83e-02										
Lafolie1996	57849	recovery	-	urine	2350	norcodeine	7732.0	3.16e-02										
Lafolie1996	57851	recovery	-	urine	2350	norcodeine	7733.0	1.94e-02										
Lafolie1996	57853	recovery	-	urine	2350	norcodeine	7734.0	2.22e-02										
Lafolie1996	57855	recovery	-	urine	2350	norcodeine	7735.0											
Lafolie1996	57857	recovery	-	urine	2350	norcodeine	7736.0											
Lafolie1996	57859	recovery	-	urine	2350	norcodeine	7737.0											
Lia2009	57861	cmax	µg/ml	plasma	2352	codeine			1898.0	4.25e-02	4.05e-03	4.26e-01			1.81e-02			
Lia2009	57863	tmax	h	plasma	2352	codeine			1898.0	9.10e-01	6.93e-02	3.41e-01			3.10e-01			
Lia2009	57865	thalf	h	plasma	2352	codeine			1898.0	2.88e+00	1.07e-01	1.67e-01			4.80e-01			
Lia2009	57867	kel	1/h	plasma	2352	codeine			1898.0	2.50e-01	8.94e-03	1.60e-01			4.00e-02			
Lia2009	57869	auc_end	mg*h/l	plasma	2352	codeine			1898.0	1.50e+05	7.65e+03	2.27e-01	12.0	h	3.42e+04			
Lia2009	57871	auc_inf	mg*h/l	plasma	2352	codeine			1898.0	1.61e+05	8.18e+03	2.27e-01			3.66e+04			
Healy1991	55623	cmax	µg/ml	plasma	2302	paraxanthine			1850.0	1.32e+00	5.75e-02	1.74e-01			2.30e-01			
