study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	time	time_unit	sd	min	max	median
Hetzler1990	55647	concentration	µg/ml	plasma	2304	FFA			1851.0	4.70e+02	1.99e+01	1.34e-01			6.30e+01			
Hetzler1990	55649	concentration	µg/ml	plasma	2304	FFA			1851.0	4.20e+02	3.00e+01	2.26e-01			9.50e+01			
Hetzler1990	55651	concentration	µg/ml	plasma	2304	FFA			1851.0	4.30e+02	3.98e+01	2.93e-01			1.26e+02			
Hetzler1990	55653	concentration	µg/ml	plasma	2304	FFA			1851.0	5.70e+02	6.99e+01	3.88e-01			2.21e+02			
Hetzler1990	55655	concentration	µg/ml	plasma	2304	FFA			1851.0	6.40e+02	3.98e+01	1.97e-01			1.26e+02			
Hetzler1990	55657	concentration	µg/ml	plasma	2304	FFA			1851.0	6.40e+02	3.98e+01	1.97e-01			1.26e+02			
Hetzler1990	55659	concentration	µg/ml	plasma	2304	FFA			1851.0	6.50e+02	3.00e+01	1.46e-01			9.50e+01			
Hetzler1990	55661	concentration	µg/ml	plasma	2304	FFA			1851.0	6.60e+02	3.00e+01	1.44e-01			9.50e+01			
Hetzler1990	55663	concentration	µg/ml	plasma	2304	FFA			1851.0	7.20e+02	3.00e+01	1.32e-01			9.50e+01			
Hetzler1990	55665	concentration	µg/ml	plasma	2304	FFA			1851.0	7.10e+02	6.01e+01	2.68e-01			1.90e+02			
Hetzler1990	55667	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.30e+02	1.01e+01	2.46e-01			3.20e+01			
Hetzler1990	55669	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.30e+02	1.99e+01	4.85e-01			6.30e+01			
Hetzler1990	55671	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.50e+02	1.01e+01	2.13e-01			3.20e+01			
Hetzler1990	55673	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.60e+02	1.99e+01	3.94e-01			6.30e+01			
Hetzler1990	55675	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.50e+02	1.01e+01	2.13e-01			3.20e+01			
Hetzler1990	55677	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.60e+02	1.01e+01	2.00e-01			3.20e+01			
Hetzler1990	55679	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.60e+02	1.01e+01	2.00e-01			3.20e+01			
Hetzler1990	55681	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.70e+02	1.01e+01	1.88e-01			3.20e+01			
Hetzler1990	55683	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.50e+02	1.01e+01	2.13e-01			3.20e+01			
Hetzler1990	55685	concentration	µg/ml	plasma	2304	glycerol			1851.0	1.40e+02	1.01e+01	2.29e-01			3.20e+01			
Hetzler1990	55687	concentration	µg/ml	plasma	2304	caffeine			1851.0	6.00e+01	5.00e+01	2.63e+00			1.58e+02			
Hetzler1990	55689	concentration	µg/ml	plasma	2304	caffeine			1851.0	8.72e+03	1.23e+03	4.46e-01			3.89e+03			
Hetzler1990	55691	concentration	µg/ml	plasma	2304	caffeine			1851.0	5.67e+03	2.90e+02	1.62e-01			9.17e+02			
Hetzler1990	55693	concentration	µg/ml	plasma	2304	caffeine			1851.0	5.30e+03	4.00e+02	2.39e-01			1.26e+03			
