study	CYP1A2	abundance	activity
Archour2014b	CYP1A2	2.307	0.187
Archour2014b	CYP1A2	5.404	0.683
Archour2014b	CYP1A2	6.132	0.286
Archour2014b	CYP1A2	2.702	0.341
Archour2014b	CYP1A2	22.532	0.142
Archour2014b	CYP1A2	13.012	0.396
Archour2014b	CYP1A2	16.455	0.484
Archour2014b	CYP1A2	20.273	0.494
Archour2014b	CYP1A2	13.788	0.539
Archour2014b	CYP1A2	10.360	0.616
Archour2014b	CYP1A2	25.640	0.769
Archour2014b	CYP1A2	37.072	0.559
Archour2014b	CYP1A2	39.751	0.636
Archour2014b	CYP1A2	25.675	1.166
Archour2014b	CYP1A2	37.130	1.220
Archour2014b	CYP1A2	48.985	1.473
Archour2014b	CYP1A2	59.257	1.098
Archour2014b	CYP1A2	81.848	1.911
Archour2014b	CYP1A2	103.938	1.381
Archour2014b	CYP1A2	98.756	3.210
Archour2014b	CYP2B6	1.594	0.005
Archour2014b	CYP2B6	2.158	0.019
Archour2014b	CYP2B6	7.952	0.015
Archour2014b	CYP2B6	3.738	0.018
Archour2014b	CYP2B6	15.872	0.017
Archour2014b	CYP2B6	17.506	0.037
Archour2014b	CYP2B6	12.754	0.036
Archour2014b	CYP2B6	27.462	0.009
Archour2014b	CYP2B6	23.849	0.042
Archour2014b	CYP2B6	38.072	0.031
Archour2014b	CYP2B6	46.504	0.027
Archour2014b	CYP2B6	49.647	0.018
Archour2014b	CYP2B6	48.128	0.044
Archour2014b	CYP2B6	37.100	0.065
Archour2014b	CYP2B6	57.135	0.058
Archour2014b	CYP2B6	49.415	0.138
Archour2014b	CYP2B6	102.056	0.085
Archour2014b	CYP2B6	167.173	0.170
Archour2014b	CYP2B6	175.959	0.310
Archour2014b	CYP2D6	0.448	0.009
Archour2014b	CYP2D6	3.099	0.016
Archour2014b	CYP2D6	4.208	0.025
Archour2014b	CYP2D6	2.227	0.028
Archour2014b	CYP2D6	7.966	0.039
Archour2014b	CYP2D6	4.454	0.056
Archour2014b	CYP2D6	15.437	0.013
Archour2014b	CYP2D6	7.555	0.075
Archour2014b	CYP2D6	11.740	0.072
Archour2014b	CYP2D6	13.075	0.088
Archour2014b	CYP2D6	8.672	0.094
Archour2014b	CYP2D6	8.043	0.132
Archour2014b	CYP2D6	14.212	0.130
Archour2014b	CYP2D6	28.323	0.137
Archour2014b	CYP2D6	34.074	0.163
Archour2014b	CYP2D6	8.301	0.178
Archour2014b	CYP2D6	9.861	0.198
Archour2014b	CYP2D6	6.111	0.194
Archour2014b	CYP2D6	15.005	0.289
Archour2014b	CYP2D6	13.926	0.317
Archour2014b	CYP2D6	62.935	0.418
Archour2014b	CYP3A4	9.207	1.868
Archour2014b	CYP3A4	35.294	3.297
Archour2014b	CYP3A4	20.716	2.527
Archour2014b	CYP3A4	23.785	3.791
Archour2014b	CYP3A4	40.665	1.154
Archour2014b	CYP3A4	43.734	3.791
Archour2014b	CYP3A4	39.130	5.220
Archour2014b	CYP3A4	46.036	5.495
Archour2014b	CYP3A4	65.217	5.659
Archour2014b	CYP3A4	76.726	5.934
Archour2014b	CYP3A4	86.701	5.220
Archour2014b	CYP3A4	89.770	7.363
Archour2014b	CYP3A4	72.123	7.967
Archour2014b	CYP3A4	56.777	8.571
Archour2014b	CYP3A4	55.243	9.286
Archour2014b	CYP3A4	52.174	12.198
Archour2014b	CYP3A4	72.890	11.868
Archour2014b	CYP3A4	87.468	11.978
Archour2014b	CYP3A4	134.271	7.143
Archour2014b	CYP3A4	137.340	14.890
Archour2014b	CYP3A4	262.404	7.967
Archour2014b	CYP2C9	23.566	1.399
Archour2014b	CYP2C9	55.501	3.406
Archour2014b	CYP2C9	29.241	1.283
Archour2014b	CYP2C9	29.241	1.283
Archour2014b	CYP2C9	19.792	1.630
Archour2014b	CYP2C9	17.550	2.174
Archour2014b	CYP2C9	19.088	2.569
Archour2014b	CYP2C9	26.254	2.025
Archour2014b	CYP2C9	28.130	1.711
Archour2014b	CYP2C9	33.040	1.480
Archour2014b	CYP2C9	53.111	1.395
Archour2014b	CYP2C9	37.259	2.370
Archour2014b	CYP2C9	37.278	2.699
Archour2014b	CYP2C9	18.364	3.146
Archour2014b	CYP2C9	35.039	3.276
Archour2014b	CYP2C9	61.921	3.076
Archour2014b	CYP2C9	44.924	3.918
Archour2014b	CYP2C9	41.155	4.232
Archour2014b	CYP2C9	19.591	4.696
Archour2014b	CYP2C9	32.879	5.222
Archour2014b	CYP2C9	53.343	5.384
Archour2014b	CYP2C9	66.195	4.921
Archour2014b	CYP2C9	138.848	3.644

