study	smoking	caf_cl	Frequency
Fuhr1994	nonsmokers	0.15	0.00
Fuhr1994	nonsmokers	0.45	1.00
Fuhr1994	nonsmokers	0.75	3.00
Fuhr1994	nonsmokers	1.05	5.00
Fuhr1994	nonsmokers	1.35	7.00
Fuhr1994	nonsmokers	1.65	4.00
Fuhr1994	nonsmokers	1.95	7.00
Fuhr1994	nonsmokers	2.25	2.00
Fuhr1994	nonsmokers	2.55	0.00
Fuhr1994	nonsmokers	2.85	0.00
Fuhr1994	nonsmokers	3.15	0.00
Fuhr1994	nonsmokers	3.45	0.00
Fuhr1994	smokers	0.15	0.00
Fuhr1994	smokers	0.45	0.00
Fuhr1994	smokers	0.75	0.00
Fuhr1994	smokers	1.05	1.00
Fuhr1994	smokers	1.35	2.00
Fuhr1994	smokers	1.65	3.00
Fuhr1994	smokers	1.95	4.00
Fuhr1994	smokers	2.25	2.00
Fuhr1994	smokers	2.55	2.00
Fuhr1994	smokers	2.85	2.00
Fuhr1994	smokers	3.15	1.00
Fuhr1994	smokers	3.45	0.00

