study	gender	smoking	N	age	age_min	age_max	weight	weight_min	weight_max	bmi	bmi_min	bmi_max	tizanidine	tizanidine	tizanidine
Backman2008	male	no	38	23	19	31	78	64	96	23.4	19.7	28.7	0.052	0.042	0.063
Backman2008	male	yes	15	24	21	28	85	70	100	25.6	20.7	29.2	0.048	0.04	0.057
Backman2008	female	no	18	22	19	26	61	52	85	21.5	19.3	28.7	0.067	0.047	0.08

