study	px_caf_plasma	px_caf_salvia
Akinyinka2000	0.04	0.11
Akinyinka2000	0.05	0.07
Akinyinka2000	0.06	0.04
Akinyinka2000	0.11	0.09
Akinyinka2000	0.17	0.13
Akinyinka2000	0.25	0.15
Akinyinka2000	0.30	0.20
Akinyinka2000	0.37	0.35
Akinyinka2000	0.57	0.62
Akinyinka2000	0.78	0.68

