study	time	midazolam	auc
Ryu2007	0.25	0.19	8.99
Ryu2007	0.25	1.00	10.52
Ryu2007	0.25	0.69	13.17
Ryu2007	0.25	1.84	13.31
Ryu2007	0.25	2.05	13.82
Ryu2007	0.25	1.96	16.23
Ryu2007	0.25	2.89	12.57
Ryu2007	0.25	1.52	28.63
Ryu2007	0.25	1.75	25.84
Ryu2007	0.25	2.49	20.54
Ryu2007	0.25	3.07	19.53
Ryu2007	0.25	3.45	19.41
Ryu2007	0.25	3.31	12.70
Ryu2007	0.25	3.43	11.82
Ryu2007	0.25	5.40	31.59
Ryu2007	0.25	6.01	26.66
Ryu2007	0.25	5.63	22.48
Ryu2007	0.25	5.82	15.64
Ryu2007	0.25	6.01	10.96
Ryu2007	0.25	6.37	14.38
Ryu2007	0.25	7.39	18.07
Ryu2007	0.25	8.38	21.50
Ryu2007	0.25	9.13	28.98
Ryu2007	0.5	2.00	9.18
Ryu2007	0.5	3.25	13.70
Ryu2007	0.5	4.75	12.96
Ryu2007	0.5	6.05	11.08
Ryu2007	0.5	5.80	11.33
Ryu2007	0.5	5.67	13.59
Ryu2007	0.5	5.79	16.10
Ryu2007	0.5	6.29	19.25
Ryu2007	0.5	5.79	26.15
Ryu2007	0.5	7.01	11.84
Ryu2007	0.5	7.47	12.73
Ryu2007	0.5	6.92	13.73
Ryu2007	0.5	7.30	14.23
Ryu2007	0.5	9.09	15.62
Ryu2007	0.5	9.34	18.26
Ryu2007	0.5	8.29	20.51
Ryu2007	0.5	7.96	22.77
Ryu2007	0.5	10.93	19.27
Ryu2007	0.5	9.54	26.67
Ryu2007	0.5	11.76	21.66
Ryu2007	0.5	11.42	28.44
Ryu2007	0.5	10.58	31.32
Ryu2007	0.5	12.97	28.95
Ryu2007	1	2.55	9.47
Ryu2007	1	2.95	12.99
Ryu2007	1	3.14	11.49
Ryu2007	1	3.50	14.51
Ryu2007	1	3.62	12.12
Ryu2007	1	3.92	10.99
Ryu2007	1	3.87	13.89
Ryu2007	1	4.38	13.51
Ryu2007	1	5.15	13.65
Ryu2007	1	4.82	13.27
Ryu2007	1	4.65	15.91
Ryu2007	1	4.29	16.53
Ryu2007	1	4.69	18.17
Ryu2007	1	4.56	20.44
Ryu2007	1	4.23	22.70
Ryu2007	1	4.37	28.61
Ryu2007	1	5.61	26.11
Ryu2007	1	5.90	21.84
Ryu2007	1	6.56	19.45
Ryu2007	1	7.12	19.59
Ryu2007	1	7.56	26.76
Ryu2007	1	7.94	28.78
Ryu2007	1	7.33	31.29
Ryu2007	1.5	2.19	9.54
Ryu2007	1.5	2.23	10.79
Ryu2007	1.5	2.28	12.05
Ryu2007	1.5	2.42	11.17
Ryu2007	1.5	2.69	13.31
Ryu2007	1.5	2.94	12.43
Ryu2007	1.5	2.99	14.31
Ryu2007	1.5	3.22	13.31
Ryu2007	1.5	3.32	15.94
Ryu2007	1.5	3.15	17.95
Ryu2007	1.5	3.22	20.46
Ryu2007	1.5	3.95	13.43
Ryu2007	1.5	3.40	26.23
Ryu2007	1.5	4.45	31.00
Ryu2007	1.5	5.32	28.49
Ryu2007	1.5	5.11	28.62
Ryu2007	1.5	4.82	26.74
Ryu2007	1.5	4.55	22.59
Ryu2007	1.5	5.11	21.59
Ryu2007	1.5	5.07	19.08
Ryu2007	1.5	4.86	19.58
Ryu2007	2	1.81	9.07
Ryu2007	2	1.68	10.70
Ryu2007	2	1.86	10.95
Ryu2007	2	1.94	16.35
Ryu2007	2	2.43	22.00
Ryu2007	2	2.38	20.62
Ryu2007	2	2.38	18.61
Ryu2007	2	2.37	11.46
Ryu2007	2	2.52	12.97
Ryu2007	2	2.32	12.84
Ryu2007	2	2.38	13.97
Ryu2007	2	2.65	15.10
Ryu2007	2	3.09	13.35
Ryu2007	2	3.51	13.99
Ryu2007	2	3.19	19.51
Ryu2007	2	3.79	19.39
Ryu2007	2	3.25	22.52
Ryu2007	2	3.51	25.91
Ryu2007	2	3.72	31.31
Ryu2007	2	3.96	28.81
Ryu2007	2	4.21	26.80
Ryu2007	2	5.24	28.58
Ryu2007	3	0.96	10.84
Ryu2007	3	1.14	9.58
Ryu2007	3	1.13	11.85
Ryu2007	3	1.34	13.24
Ryu2007	3	1.51	12.23
Ryu2007	3	1.57	13.24
Ryu2007	3	1.53	20.42
Ryu2007	3	1.51	18.03
Ryu2007	3	1.58	15.88
Ryu2007	3	1.70	14.50
Ryu2007	3	1.88	13.74
Ryu2007	3	1.88	15.25
Ryu2007	3	2.20	13.24
Ryu2007	3	2.15	19.16
Ryu2007	3	2.38	19.16
Ryu2007	3	2.09	21.18
Ryu2007	3	2.15	22.31
Ryu2007	3	2.43	28.11
Ryu2007	3	3.12	26.60
Ryu2007	3	3.33	25.97
Ryu2007	3	3.27	28.36
Ryu2007	3	3.58	31.01
Ryu2007	4	0.72	11.11
Ryu2007	4	0.75	12.50
Ryu2007	4	0.82	10.87
Ryu2007	4	0.95	9.36
Ryu2007	4	0.91	12.26
Ryu2007	4	0.96	14.15
Ryu2007	4	1.06	13.27
Ryu2007	4	1.23	13.78
Ryu2007	4	1.19	15.79
Ryu2007	4	1.29	16.05
Ryu2007	4	1.13	18.06
Ryu2007	4	1.12	20.33
Ryu2007	4	1.34	19.20
Ryu2007	4	1.49	21.35
Ryu2007	4	1.34	22.35
Ryu2007	4	1.90	19.47
Ryu2007	4	1.85	26.78
Ryu2007	4	2.21	25.91
Ryu2007	4	2.22	28.56
Ryu2007	4	2.38	31.21
Ryu2007	4	2.54	28.44
Ryu2007	5	0.59	9.45
Ryu2007	5	0.56	10.84
Ryu2007	5	0.50	11.47
Ryu2007	5	0.54	12.98
Ryu2007	5	0.60	15.76
Ryu2007	5	0.76	16.26
Ryu2007	5	0.69	14.24
Ryu2007	5	0.72	13.36
Ryu2007	5	0.87	13.61
Ryu2007	5	0.97	18.28
Ryu2007	5	1.04	19.54
Ryu2007	5	1.10	21.18
Ryu2007	5	1.26	19.16
Ryu2007	5	1.27	22.56
Ryu2007	5	1.40	26.97
Ryu2007	5	1.68	26.34
Ryu2007	5	1.70	28.74
Ryu2007	5	1.81	28.74
Ryu2007	5	2.10	31.26
Ryu2007	6	0.21	11.09
Ryu2007	6	0.30	13.61
Ryu2007	6	0.29	12.61
Ryu2007	6	0.34	10.84
Ryu2007	6	0.36	12.10
Ryu2007	6	0.39	15.63
Ryu2007	6	0.45	14.50
Ryu2007	6	0.48	13.36
Ryu2007	6	0.56	9.33
Ryu2007	6	0.65	12.73
Ryu2007	6	0.52	19.66
Ryu2007	6	0.56	19.66
Ryu2007	6	0.65	18.40
Ryu2007	6	0.73	16.51
Ryu2007	6	0.72	21.43
Ryu2007	6	0.79	20.55
Ryu2007	6	0.95	22.44
Ryu2007	6	1.21	28.87
Ryu2007	6	1.32	28.61
Ryu2007	6	1.33	26.47
Ryu2007	6	1.38	26.22
Ryu2007	6	1.73	31.13

