study	smoking	smo_nosmo	Frequency
Dobrinas2011	smoking cessation	0.0766863	0
Dobrinas2011	smoking cessation	0.23002261	0
Dobrinas2011	smoking cessation	0.3831049	1
Dobrinas2011	smoking cessation	0.5274225	3
Dobrinas2011	smoking cessation	0.66424567	1
Dobrinas2011	smoking cessation	0.81761825	1
Dobrinas2011	smoking cessation	0.94456077	4
Dobrinas2011	smoking cessation	1.0704236	11
Dobrinas2011	smoking cessation	1.2155305	10
Dobrinas2011	smoking cessation	1.3592675	14
Dobrinas2011	smoking cessation	1.4944392	18
Dobrinas2011	smoking cessation	1.6483654	16
Dobrinas2011	smoking cessation	1.7704537	6
Dobrinas2011	smoking cessation	1.9229553	9
Dobrinas2011	smoking cessation	2.0345552	6
Dobrinas2011	smoking cessation	2.1975634	2
Dobrinas2011	smoking cessation	2.3330076	5
Dobrinas2011	smoking cessation	2.461928	1
Dobrinas2011	smoking cessation	2.5982249	1
Dobrinas2011	smoking cessation	2.760126	1
Dobrinas2011	smoking cessation	2.8879125	1
Dobrinas2011	smoking cessation	3.015699	1
Dobrinas2011	smoking cessation	3.1432402	2
Dobrinas2011	smoking cessation	3.3311996	0
Dobrinas2011	smoking cessation	3.5101132	0
Dobrinas2011	smoking cessation	3.6890357	0
Dobrinas2011	smoking cessation	3.85091	0
Dobrinas2011	smoking cessation	4.0125117	1
Dobrinas2011	smoking cessation	4.1916885	0
Dobrinas2011	smoking cessation	4.353572	0
Dobrinas2011	smoking cessation	4.4472885	0
Dobrinas2011	smoking cessation	4.617673	0
Dobrinas2011	smoking cessation	4.788067	0
Dobrinas2011	smoking cessation	4.958461	0
Dobrinas2011	smoking cessation	5.1288457	0
Dobrinas2011	smoking cessation	5.3333364	0
Dobrinas2011	smoking cessation	5.5204883	1
Dobrinas2011	smoking cessation	5.7167134	0
Dobrinas2011	smoking cessation	5.853019	0
Dobrinas2011	smoking cessation	6.083051	0
Dobrinas2011	smoking cessation	6.261974	0
Dobrinas2011	smoking cessation	6.4238567	0
Dobrinas2011	smoking cessation	6.560181	0
Dobrinas2011	smoking cessation	6.7731733	0
Dobrinas2011	smoking cessation	6.977637	0
Dobrinas2011	smoking cessation	7.1985955	2
Dobrinas2011	smoking cessation	7.3780622	0

