study	data	figure
Akinyinka2000	Akinyinka2000_Fig1.csv	Akinyinka2000_Fig1.png
Benowitz2003	Benowitz2003_Fig3.csv	Benowitz2003_Fig3.png
Blanchard1983a	Blanchard1983a_Fig2.csv	Blanchard1983a_Fig2.png
Bonati1982	Bonati1982_Fig1.csv	Bonati1982_Fig1.png
Haller2002	Haller2002_Fig1C.csv	Haller2002_Fig1C.png
Healy1991	Healy1991_Fig.csv	Healy1991_Fig.png
Kaplan1997	Kaplan1997_Fig1.csv	Kaplan1997_Fig1.png
