study	caf_cl_co	caf_cl_air	caf_cl_cs
Benowitz2003	49.5149	49.9964	70.8294
Benowitz2003	71.6681	69.6389	101.1753
Benowitz2003	90.2338	81.4218	132.2515
Benowitz2003	99.8685	100.7045	142.2487
Benowitz2003	108.4451	119.2809	147.9628
Benowitz2003	119.1592	131.7807	171.5419
Benowitz2003	140.6034	180.7084	181.5337
Benowitz2003	150.2381	193.2001	251.1833
Benowitz2003	179.5206	219.9854	280.4632

