study	gender	dose	substance	time	caf	caf_pm_sd	caf_sd	px	px_pm_sd	px_sd	px_caf	px_caf_sd
Benowitz1995	both	4	caffeine	0	0	0	0	0	0	0	NA	NA
Benowitz1995	both	4	caffeine	30	6.7304626	7.368421	0.6379584	0.41467306	0.5263158	0.11164274	0.0616113757	0.0175856738
Benowitz1995	both	4	caffeine	40	7.0972886	7.480064	0.3827754	0.49441788	0.5582137	0.06379582	0.0696629245	0.0097423626
Benowitz1995	both	4	caffeine	60	7.2567782	7.6076555	0.3508773	0.54226476	0.68580544	0.14354068	0.0747252768	0.0201075009
Benowitz1995	both	4	caffeine	75	7.480064	7.878788	0.398724	0.7814992	0.8931419	0.1116427	0.1044776087	0.0159305432
Benowitz1995	both	4	caffeine	90	6.905901	7.38437	0.478469	0.9569378	1.0685805	0.1116427	0.1385681318	0.0188021098
Benowitz1995	both	4	caffeine	120	6.6507177	7.033493	0.3827753	1.0047847	1.2918661	0.2870814	0.1510791384	0.0440325447
Benowitz1995	both	4	caffeine	180	5.8213716	6.4433813	0.6220097	1.2918661	1.6427432	0.3508771	0.2219178209	0.0647703482
Benowitz1995	both	2	caffeine	0	0	0	0	0	0	0	NA	NA
Benowitz1995	both	2	caffeine	30	3.014354	4.0988836	1.0845296	0.3030303	0.27113238	0.03189792	0.1005291018	0.0376854119
Benowitz1995	both	2	caffeine	40	2.7591708	3.5885167	0.8293459	0.49441788	0.4784689	0.01594898	0.1791907482	0.054170074
Benowitz1995	both	2	caffeine	60	2.679426	3.429027	0.749601	0.5582137	0.430622	0.1275917	0.2083333147	0.0752632903
Benowitz1995	both	2	caffeine	75	3.2695374	3.939394	0.6698566	0.7017544	0.5103668	0.1913876	0.2146341559	0.073213604
Benowitz1995	both	2	caffeine	90	3.1419458	3.7480063	0.6060605	0.8133971	0.6060606	0.2073365	0.2588832373	0.0827547511
Benowitz1995	both	2	caffeine	120	2.9505582	3.5725677	0.6220095	0.98883575	0.7017544	0.28708135	0.3351351449	0.1202422639
Benowitz1995	both	2	caffeine	180	2.5837321	3.0940988	0.5103667	1.2918661	0.861244	0.4306221	0.5000000194	0.1937327921
Benowitz1995	both	4	paraxanthine	0	NA	NA	NA	0	0	0	NA	NA
Benowitz1995	both	4	paraxanthine	30	NA	NA	NA	3.95741	5.333481	1.376071	NA	NA
Benowitz1995	both	4	paraxanthine	40	NA	NA	NA	4.1992087	5.36724	1.1680313	NA	NA
Benowitz1995	both	4	paraxanthine	60	NA	NA	NA	4.6827645	5.642798	0.9600335	NA	NA
Benowitz1995	both	4	paraxanthine	75	NA	NA	NA	5.1494207	5.8214154	0.6719947	NA	NA
Benowitz1995	both	4	paraxanthine	90	NA	NA	NA	5.216039	5.7760754	0.5600364	NA	NA
Benowitz1995	both	4	paraxanthine	120	NA	NA	NA	5.557397	5.765354	0.207957	NA	NA
Benowitz1995	both	4	paraxanthine	180	NA	NA	NA	5.1520395	5.744076	0.5920365	NA	NA
Benowitz1995	both	2	paraxanthine	0	NA	NA	NA	0	0	0	NA	NA
Benowitz1995	both	2	paraxanthine	30	NA	NA	NA	1.2693912	1.7493873	0.4799961	NA	NA
Benowitz1995	both	2	paraxanthine	40	NA	NA	NA	1.7832284	2.327224	0.5439956	NA	NA
Benowitz1995	both	2	paraxanthine	60	NA	NA	NA	1.7067072	2.0747452	0.368038	NA	NA
Benowitz1995	both	2	paraxanthine	75	NA	NA	NA	1.837407	2.2534037	0.4159967	NA	NA
Benowitz1995	both	2	paraxanthine	90	NA	NA	NA	1.936066	2.2720633	0.3359973	NA	NA
Benowitz1995	both	2	paraxanthine	120	NA	NA	NA	2.741379	3.0933762	0.3519972	NA	NA
Benowitz1995	both	2	paraxanthine	180	NA	NA	NA	2.8320177	3.1680968	0.3360791	NA	NA

