sid	name	ntype	dtype	label	description	annotations	children
root	root	info_node	abstract	root	root	[]	[]
intervention	intervention	info_node	abstract	intervention	intervention	[]	['dosing-intervention']
measurement	measurement	info_node	abstract	measurement	measurement	[]	['blood-measurement', 'chemistry-measurement', 'ph', 'ph-change', 'pharmacokinetic-measurement', 'pharmacodynamic-measurement', 'physiological-measurement', 'metabolic-measurement', 'relative-peak-area', 'mri-measurement', 'ct-measurement', 'demographics-measurement', 'lifestyle-measurement', 'health-status', 'species', 'strain', 'gene-measurement', 'medical-procedure']
blood-measurement	blood measurement	measurement_type	abstract	blood measurement	measurement of the blood, it's contents, cells or other factors contained within the blood.	"[{'term': 'CMO:0000035', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': ""A measurement of the blood, it's contents, cells or other factors contained within the blood."", 'label': 'blood measurement', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000035'}]"	['blood-cell-measurement', 'blood-index']
blood-cell-measurement	blood cell measurement	measurement_type	abstract	blood cell measurement	A value resulting from the quantification of a morphological or physiological parameter of blood cells, i.e. cells native to the circulation, including those of erythroid, lymphoid, myeloid and monocytic lineages. A cell is a membrane-enclosed protoplasmic mass constituting the smallest structural unit of an organism that is capable of independent functioning.	[{'term': 'CMO:0000036', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'Value resulting from the quantification of the cellular elements of the blood, including morphological parameters of blood cells, i.e. cells native to the circulation, including those of erythroid, lymphoid, myeloid and monocytic lineages. The CBC/differential indicates the differential counts of white blood cells, counts of red blood cells and platelets, the concentration of hemoglobin, and the hematocrit.', 'label': 'complete blood count and differential', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000036'}]	['glycosylated-hemoglobin-measurement', 'hba1c-change', 'hematocrit', 'blood-cell-count-categorial']
chemistry-measurement	chemistry measurement	measurement_type	abstract	chemistry measurement	A quantification of a parameter of the chemical composition of a tissue or compartment. If used in a group or individual characteristica the tissue is blood, i.e., this refers to blood chemistry measurement. If measured in different tissue, e.g. urine it must be encoded as output.	[]	['liver-function-test', 'breath-test', 'concentration', 'concentration-per-dose', 'concentration-ss-per-dose', 'concentration-unbound', 'amount', 'cumulative-amount', 'cumulative-amount-change', 'excretion-rate', 'maximum-excretion-rate', 'fractional-excretion', 'dob', 'pdr', 'gamma-globulin-measurement', 'prothrombin-time', 'inr', 'prothrombin-time-ratio', 'plasma-thromboplastin-activity', 'prothrombin-time-change-relative', 'prothrombin-time-change-relative-max', 'xa-activity', 'anti-xa-activity', 'xa-inhibition', 'xa-inhibition-max', 'coagulation-factor-x', 'aptt', 'aptt-change-relative', 'heptest', 'heptest-change-relative', 'thrombin-activity-change-relative', 'antithrombin-activity-change-relative', 'ace-activity', 'renin-activity', 'renin-activity-change-absolute', 'ace-activity-relative', 'ace-inhibition', 'retention-ratio', 'biochemistry-categorial', 'kidney-function-test', 'cardiac-function-test', 'western-blot']
ph	pH	measurement_type	numeric	pH	Quantity of dimension one used to express on a scale from 0 to 14 the amount-of-substance concentration of hydrogen ion of dilute aqueous solution, calculated as the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter. For change in pH use 'pH change'.	[{'term': 'C45997', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Quantity of dimension one used to express on a scale from 0 to 14 the amount-of-substance concentration of hydrogen ion of dilute aqueous solution, calculated as the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter.', 'label': 'pH', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C45997'}]	[]
ph-change	pH change	measurement_type	numeric	pH change	Change in pH. For absolute pH use 'pH'.	[{'term': 'C45997', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Quantity of dimension one used to express on a scale from 0 to 14 the amount-of-substance concentration of hydrogen ion of dilute aqueous solution, calculated as the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter.', 'label': 'pH', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C45997'}]	[]
liver-function-test	liver function test	measurement_type	categorical	liver function test	Statical liver function tests (e.g., standard panel of liver enzymes, i.e., ALT and AST). The quantitative measurement of liver enzymes in the blood, which is useful in assessing the functional state of a patient's liver. Liver function tests include the measurement of albumin, alanine transaminase, aspartate transaminase, alkaline phosphatase, bilirubin, and gamma glutamyl transferase.To encode numerical results for the individual enzymes use the `concentration` or `amount` with the respective substance. Also used for general reporting of liver function or hepatic function.	"[{'term': 'C74954', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""The quantitative measurement of liver enzymes in the blood, which is useful in assessing the functional state of a patient's liver. Liver function tests include the measurement of albumin, alanine transaminase, aspartate transaminase, alkaline phosphatase, bilirubin, and gamma glutamyl transferase."", 'label': 'Liver Function Test', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C74954'}]"	['abt', 'ermbt', 'child-pugh-score', 'child-pugh-score-numeric', 'biochemistry-level', 'liver-function-test-not-reported']
breath-test	breath test	measurement_type	categorical	breath test	Breath test. Any test performed on air generated by the act of exhaling.	[{'term': 'C116515', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Any test performed on air generated by the act of exhaling.', 'label': 'Breath Test', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C116515'}]	['abt', 'ermbt', 'breath-test-not-reported']
concentration	concentration	measurement_type	numeric	concentration	Concentration of substance. The quantity of a substance per unit volume or weight;See also `amount` for amount of substance, `cumulative amount` for cumulative amount, and `concentration unbound` for the unbound, i.e. free, concentration of the substance.	[{'term': 'C41185', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.', 'label': 'Concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C41185'}, {'term': 'CHMO:0002820', 'relation': 'BQB_IS', 'collection': 'chmo', 'description': 'Experimental method output expressing the contribution of one constituent to the composition of a mixture.', 'label': 'concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/chmo/terms?obo_id=CHMO:0002820'}]	['concentration-change', 'concentration-change-absolute', 'multiple-dosing-cmin', 'multiple-dosing-cmax', 'concentration-ss', 'concentration-substances-all']
concentration-per-dose	concentration per dose	measurement_type	numeric	concentration per dose	Concentration divided by dose. Dose-normalized concentration.	[]	[]
concentration-change	concentration change	measurement_type	numeric	concentration change	Relative concentration change of substance from baseline. Often only changes from baseline are reported for concentrations. If a baseline value is available the absolute change in concentration should be calculated in addition and encoded as concentration. Absolute concentration changes should be encoded using `concentration change absolute`. See also `concentration` and `concentration change absolute`.	[{'term': 'C41185', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.', 'label': 'Concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C41185'}, {'term': 'CHMO:0002820', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chmo', 'description': 'Experimental method output expressing the contribution of one constituent to the composition of a mixture.', 'label': 'concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/chmo/terms?obo_id=CHMO:0002820'}]	[]
concentration-change-absolute	concentration change absolute	measurement_type	numeric	concentration change absolute	Absolute concentration change of substance from baseline. Often only changes from baseline are reported for concentrations. If a baseline value is available the absolute change in concentration should be calculated in addition and encoded as concentration. Relative concentration changes should be encoded using `concentration change`. See also `concentration` and `concentration change`.	[{'term': 'C41185', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.', 'label': 'Concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C41185'}, {'term': 'CHMO:0002820', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chmo', 'description': 'Experimental method output expressing the contribution of one constituent to the composition of a mixture.', 'label': 'concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/chmo/terms?obo_id=CHMO:0002820'}]	[]
multiple-dosing-cmin	muliple_dosing_cmin	measurement_type	numeric	multiple dosing minimal concentration	Minimal concentration of substance in quasi steady state after multiple dosing interventions. This depends on the dosing scheme. See also 'multiple_dosing_cmax'.	[]	[]
multiple-dosing-cmax	muliple_dosing_cmax	measurement_type	numeric	multiple dosing maximal concentration	Maximal concentration of substance in quasi steady state after multiple dosing interventions. This depends on the dosing scheme. See also 'multiple_dosing_cmin'.	[]	[]
concentration-ss	concentration_ss	measurement_type	numeric	steady-state concentration	Concentration of substance in steady state. The quantity of a substance per unit volume or weight; steady state after infusion. In case of minimal concentration in quasi steady state in multiple dosing use 'multiple_dosing_cmin'.	[{'term': 'C41185', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.', 'label': 'Concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C41185'}, {'term': 'CHMO:0002820', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chmo', 'description': 'Experimental method output expressing the contribution of one constituent to the composition of a mixture.', 'label': 'concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/chmo/terms?obo_id=CHMO:0002820'}]	[]
concentration-ss-per-dose	concentration_ss per dose	measurement_type	numeric	steady state concentration per dose	Steady state concentration divided by dose. Dose-normalized steady state concentration.	[]	[]
concentration-unbound	concentration_unbound	measurement_type	numeric	concentration unbound	Concentration of unbound substance. Describes the free unbound substance concentration, i.e., concentration of the free substance. See also `concentration`, `amount` or `fraction_unbound`.	[{'term': 'C41185', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.', 'label': 'Concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C41185'}, {'term': 'CHMO:0002820', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'chmo', 'description': 'Experimental method output expressing the contribution of one constituent to the composition of a mixture.', 'label': 'concentration', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/chmo/terms?obo_id=CHMO:0002820'}]	['concentration-unbound-substances-all']
amount	amount	measurement_type	numeric	amount	Amount of substance. If substance is measured in amount units. See also 'concentration'.	[{'term': 'C25256', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'How much there is of something that you can measure; the total amount or number.', 'label': 'Quantity', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25256'}]	['amount-substances-all']
cumulative-amount	cumulative amount	measurement_type	numeric	cumulative amount	Cumulative amount of substance. It is required to provide the time period for the cumulative collection. Cumulative amount is often used for urinary measurements in which urine is collected for a given time period (see also 'recovery').	[{'term': 'C25256', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'How much there is of something that you can measure; the total amount or number.', 'label': 'Quantity', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25256'}]	['cumulative-amount-substances-all']
cumulative-amount-change	cumulative amount (change)	measurement_type	numeric	cumulative amount (change)	Absolute change in cumulative amount of substance. It is required to provide the time period for the cumulative collection. Cumulative amount (change) is often used for urinary measurements in which urine is collected for a given time period (see also 'recovery').	[{'term': 'C25256', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'How much there is of something that you can measure; the total amount or number.', 'label': 'Quantity', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25256'}]	[]
excretion-rate	excretion rate	measurement_type	numeric	excretion rate	Excretion rate of substance. The speed relative to time that an exogenous compound is removed from a body system.Rate of removal of substance from body for instance via urinary excretion, excretion via the fecal route or via sweat. Use with the respective tissue to encode the route of excretion, e.g. with the tissue urine. For secretion within the body use 'secretion rate'.	[{'term': 'C85534', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The speed relative to time that an exogenous compound is removed from a body system.', 'label': 'Excretion Rate', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C85534'}]	[]
maximum-excretion-rate	maximum excretion rate	measurement_type	numeric	maximum excretion rate (ERmax)	Maximum excretion rate (ERmax). See also 'excretion rate'	[]	[]
fractional-excretion	fractional excretion	measurement_type	numeric	fractional excretion	Fractional excretion of substance. Often calculated as a relative fraction, e.g. urinary fractional excretion of sodium relative to plasma.	[{'term': 'C107435', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The percentage of the total sodium filtered by the kidney that is excreted in the urine. The fractional excretion is calculated by multiplying urinary sodium concentration by the plasma creatinine concentration, then dividing by the urinary creatinine concentration multiplied by the plasma sodium concentration. The resulting ratio is multiplied by 100.', 'label': 'Fractional Excretion of Sodium', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C107435'}]	[]
dob	dob	measurement_type	numeric	delta over baseline (DOB)	Delta over baseline. The ratio is reported in units delta13 CO2 relative to the PDB (Belemnitella americana) standard (1.1235% 13C) and is defined as 'delta13C(o/oo) = [(13C/12C) sample / (13C/12C) standard) -1] *1000'.The value of the baseline was subtracted from each value resultingin a net change in delta (delta over baseline; DOB). DOB can be converted to an equivalent excess spepcific activity (excess 13CO2/total CO2)by multiplying DOB by 1.123 E-5.	[]	[]
pdr	pdr	measurement_type	numeric	plasma disappearance rate (PDR)	plasma disappearance rate (PDR). Calculated from backward extrapolation of k from fitted curve.E.g. ICG-PDR	[]	['fractional-pdr']
