sid	name	ntype	dtype	label	description	annotations	children
gamma-globulin-measurement	gamma-globulin measurement	measurement_type	numeric	gamma-globulin measurement	Measurement of gamma-globulins.	[{'term': '116648000', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'snomedct', 'description': None, 'label': None, 'url': 'https://browser.ihtsdotools.org/?perspective=full&conceptId1=116648000'}, {'term': 'C16601', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'A type of globulin in plasma that in electrically charged solutions exhibits slowest colloidal mobility after that of the alpha and beta globulins. All immunoglobulins belong to this group of serum protein.', 'label': 'Gamma Globulin', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C16601'}]	[]
prothrombin-time	prothrombin time	measurement_type	numeric	prothrombin time (PT)	Prothrombin time (PT). A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.	[{'term': 'C62656', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.', 'label': 'Prothrombin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C62656'}, {'term': 'CMO:0000211', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'Measurement of the clotting ability of fibrinogen, prothrombin, proaccelerin, proconvertin and Stuart factor, usually given in seconds to formation of clot after the addition of a tissue factor or thromboplastin.', 'label': 'prothrombin time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000211'}]	[]
inr	inr	measurement_type	numeric	international normalized ratio (INR)	International normalized ratio (INR).	[{'term': 'CMO:0000211', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'cmo', 'description': 'Measurement of the clotting ability of fibrinogen, prothrombin, proaccelerin, proconvertin and Stuart factor, usually given in seconds to formation of clot after the addition of a tissue factor or thromboplastin.', 'label': 'prothrombin time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000211'}, {'term': 'C62656', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.', 'label': 'Prothrombin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C62656'}]	[]
prothrombin-time-ratio	prothrombin time ratio	measurement_type	numeric	prothrombin time ratio	Prothrombin time ratio. Measurement of the clotting ability of fibrinogen, prothrombin, proaccelerin, proconvertin and Stuart factor, usually given in seconds to formation of clot after the addition of a tissue factor or thromboplastin.	[{'term': 'CMO:0000211', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'cmo', 'description': 'Measurement of the clotting ability of fibrinogen, prothrombin, proaccelerin, proconvertin and Stuart factor, usually given in seconds to formation of clot after the addition of a tissue factor or thromboplastin.', 'label': 'prothrombin time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000211'}, {'term': 'C62656', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.', 'label': 'Prothrombin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C62656'}]	[]
plasma-thromboplastin-activity	plasma thromboplastin activity	measurement_type	numeric	plasma thromboplastin activity	Plasma thromboplastin activity. A test for the functional intactness of the prothrombin complex that is used in controlling the amount of anticoagulant used in preventing thrombosis	[]	[]
prothrombin-time-change-relative	prothrombin time (change relative)	measurement_type	numeric	prothrombin time (PT) (change relative)	Prothrombin time (PT) relative change in percent. See also 'prothrombin time'.	[{'term': 'C62656', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'A measurement of the clotting time of plasma recalcified in the presence of excess tissue thromboplastin; it is a measure of the extrinsic pathway of coagulation. It is used to determine the clotting tendency of blood, in the measure of warfarin dosage, liver damage and vitamin K status. Factors measured are fibrinogen, prothrombin, and factors V, VII, and X.', 'label': 'Prothrombin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C62656'}]	[]
prothrombin-time-change-relative-max	prothrombin time (change relative) maximum	measurement_type	numeric	prothrombin time (PT) (change relative) maximum	Prothrombin time (PT) maximum relative change in percent.	[]	[]
xa-activity	factor Xa activity	measurement_type	numeric	factor Xa activity	Factor Xa activity.	[]	[]
anti-xa-activity	Anti-factor Xa activity	measurement_type	numeric	Anti-factor Xa activity	Anti-factor Xa activity.	[]	[]
xa-inhibition	factor Xa inhibition	measurement_type	numeric	factor Xa inhibition	Inhibition of Factor Xa. For absolute Xa activity see 'factor Xa activity'.	[]	[]
xa-inhibition-max	factor Xa inhibition maximum	measurement_type	numeric	factor Xa inhibition maximum	Maximum inhibition of Factor Xa.	[]	[]
coagulation-factor-x	coagulation factor X	measurement_type	numeric	coagulation factor X	Coagulation factor X.	[]	[]
aptt	aPTT	measurement_type	numeric	activated partial thromboplastin time (aPTT)	Activated partial thromboplastin time (aPTT). A measurement of the length of time that it takes for clotting to occur when activating reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.	[{'term': 'C38462', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A measurement of the length of time that it takes for clotting to occur when activating reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.', 'label': 'Activated Partial Thromboplastin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C38462'}]	[]
aptt-change-relative	aPTT (change relative)	measurement_type	numeric	activated partial thromboplastin time (aPTT) (change relative)	Activated partial thromboplastin time (aPTT) relative change in percent. See also 'aPTT'.	[{'term': 'C38462', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'A measurement of the length of time that it takes for clotting to occur when activating reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.', 'label': 'Activated Partial Thromboplastin Time', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C38462'}]	[]
heptest	HepTest	measurement_type	numeric	HepTest	HepTest.	[]	[]
heptest-change-relative	HepTest (change relative)	measurement_type	numeric	HepTest (change relative)	HepTest relative change in percent.	[]	[]
thrombin-activity-change-relative	thrombin activity (change relative)	measurement_type	numeric	thrombin activity (change relative)	Thrombin activity relative change in percent.	[]	[]
antithrombin-activity-change-relative	antithrombin activity (change relative)	measurement_type	numeric	antithrombin activity (change relative)	Antithrombin activity relative change in percent.	[]	[]
ace-activity	ACE activity	measurement_type	numeric	ACE activity	Angiotensin converting enzyme activity (measured in H-hippuric acid). For relative ACE activity in percent see 'relative ACE activity'.	[]	[]
renin-activity	renin activity	measurement_type	numeric	renin activity	Renin activity measured for instance via the rate of production of angiotensin I formation.	[]	[]
renin-activity-change-absolute	renin activity (change absolute)	measurement_type	numeric	renin activity (change absolute)	Absolute renin activity change measured for instance via the rate of production of angiotensin I formation.	[]	[]
ace-activity-relative	relative ACE activity	measurement_type	numeric	relative ACE activity	Relative angiotensin converting enzyme activity (percent). For absolute ACE activity see 'ACE activity'.	[]	[]
ace-inhibition	ACE inhibition	measurement_type	numeric	ACE inhibition	Inhibition of angiotensin converting enzyme (ACE). For absolute ACE activity see 'ACE activity'.	[]	[]
fractional-pdr	fractional pdr	measurement_type	numeric	fractional plasma disappearance rate (PDR)	Plasma disappearance rate (PDR) relative to reference value (e.g., post-operative PDR/pre-operative PDR.	[]	[]
retention-ratio	retention ratio	measurement_type	numeric	retention ratio	Retention ratio. E.g. ICG-R15, calculated as C_icg(15min)*C_icg(0)/100	[]	[]
biochemistry-categorial	biochemistry (categorial)	measurement_type	categorical	biochemistry (categorial)	blood chemistry measurement (level); The substance is defined via the `substance` field on the measurement_type, e.g., to define that the blood insulin was elevated use `substance: insulin` and `choice: biochemistry elevated`. To specify the actual amount or concentration use the numerical types`concentration` and `amount`.	[]	['biochemistry-level', 'biochemistry-categorial-not-reported']
kidney-function-test	kidney function test	measurement_type	categorical	kidney function test	Statical kidney function test(s) or renal function test (e.g., urea or creatinine clearance). A laboratory procedure that evaluates the kidney function.To encode numerical results for the individual enzymes use the `concentration` or `amount` with the respective substance. Also used for general reporting of kidney function or renal function.	[{'term': 'C74972', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A laboratory procedure that evaluates the kidney function.', 'label': 'Renal Function Test', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C74972'}]	['glomular-filtration-rate', 'osmolarity', 'biochemistry-level', 'kidney-function-test-not-reported']
abt	ABT	measurement_type	numeric	Aminopyrine breath test (ABT)	A breath test with 13C-labeled aminopyrine that has been used as a non-invasive measure of cytochrome P-450 metabolic activity in liver function tests. It is also used in measuring the total body water in the human body system. Production and use have been banned in France, Thailand and India. ABT is measured in  [% dose*kg/mmole].	[]	[]
ermbt	ermbt	measurement_type	numeric	Erythromycin breath test (ERMBT)	Erythromycin breath test. The erythromycin breath test (ERMBT) is a method used to measure metabolism (oxidation and elimination from the system) by a part of the cytochrome P450 system. Erythromycin is tagged with carbon-14 and given as an intravenous injection; after 20 minutes the subject blows up a balloon and the carbon dioxide exhaled that is tagged with carbon-14 shows the activity of the CYP3A4 isoenzyme on the erythromycin. Therefore, this activity can predict how other drugs that are metabolized by the CYP3A4 part of the cytochrome P450 system will be acted upon by a particular person. 	[{'term': 'C116515', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'Any test performed on air generated by the act of exhaling.', 'label': 'Breath Test', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C116515'}, {'term': 'C476', 'relation': 'BQB_HAS_PART', 'collection': 'ncit', 'description': 'A broad-spectrum, macrolide antibiotic with antibacterial activity. Erythromycin diffuses through the bacterial cell membrane and reversibly binds to the 50S subunit of the bacterial ribosome. This prevents bacterial protein synthesis. Erythromycin may be bacteriostatic or bactericidal in action, depending on the concentration of the drug at the site of infection and the susceptibility of the organism involved.', 'label': 'Erythromycin', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C476'}]	[]
glomular-filtration-rate	gfr	measurement_type	numeric	Glomular filtration rate	Glomular Filtration Rate (GFR). An estimation of the volume of fluid filtered from the kidney glomerular capillaries into the Bowman's capsule per specified unit of time based on serum creatinine level, weight and age of organism and other factors. GFR should be encoded as creatinine via 'measurement_type=clearance', 'substance=creatinine' and 'tissue=urine' if it is a creatinine clearance.	"[{'term': 'CMO:0000490', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'Glomerular filtration rate describes the flow rate of filtered fluid through the kidney. It is calculated by comparative measurements of substances (ex. creatinine or inulin) in the blood and urine over a designated period of time.', 'label': 'glomerular filtration rate', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000490'}, {'term': 'C90505', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""A kidney function test that measures the fluid volume that is filtered from the kidney glomeruli to the Bowman's capsule per unit of time."", 'label': 'Glomerular Filtration Rate', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C90505'}]"	[]
osmolarity	osmolarity	measurement_type	numeric	osmolarity	The osmoles of solute per liter of solution.	[{'term': '62970001', 'relation': 'BQB_IS', 'collection': 'snomedct', 'description': None, 'label': None, 'url': 'https://browser.ihtsdotools.org/?perspective=full&conceptId1=62970001'}, {'term': 'C179805', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The osmoles of solute per liter of solution.', 'label': 'Osmolarity', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C179805'}]	[]
child-pugh-score	child-pugh score	measurement_type	categorical	Child-Pugh score (CPT)	Child-Pugh Classification. Child-Pugh score indicating one-year survival of 100% in patients with chronic liver disease and cirrhosis. This score is determined by the study of the following five factors: bilirubin, albumin, international normalized ratio, presence and degree of ascites, and presence and degree of encephalopathy.	[{'term': 'C121007', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A standardized rating scale used to assess the severity of liver cirrhosis and determine the prognosis, the required strength of treatment, and the necessity of liver transplantation. This instrument uses the following clinical and lab criteria: encephalopathy grade, ascites, bilirubin, albumin, and prothrombin index.', 'label': 'Child-Pugh Clinical Classification', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C121007'}]	['child-pugh-class-a', 'child-pugh-class-b', 'child-pugh-class-c', 'child-pugh-class-unkown', 'child-pugh-score-not-reported']
