path	sid	error_count	sampled_codes	sampled_locations
Gd-EOB-DTPA/Gschwend2011	PKDB00702	1	timecourse_points	Gschwend2011.xlsx:Fig2:16
Gd-EOB-DTPA/Hamm1995	PKDB00700	66	unknown_tissue	Hamm1995.xlsx:Fig4:372;Hamm1995.xlsx:Fig4:373;Hamm1995.xlsx:Fig4:374;Hamm1995.xlsx:Fig4:375;Hamm1995.xlsx:Fig4:376;Hamm1995.xlsx:Fig4:377;Hamm1995.xlsx:Fig4:378;Hamm1995.xlsx:Fig4:379;Hamm1995.xlsx:Fig4:380;Hamm1995.xlsx:Fig4:381
Gd-EOB-DTPA/SchuhmannGiampieri1997	PKDB00701	1	unknown_column	SchuhmannGiampieri1997.xlsx:Tab4:3
Gd-EOB-DTPA/Weiss2021	Weiss2021	1	unknown_column	Weiss2021.xlsx:TabIndividuals:3
Gd-EOB-DTPA/Nassif2012	Nassif2012	280	unknown_intervention	Nassif2012.xlsx:TabExcretion:3;Nassif2012.xlsx:TabExcretion:4;Nassif2012.xlsx:TabExcretion:6;Nassif2012.xlsx:TabExcretion:7;Nassif2012.xlsx:TabExcretion:9;Nassif2012.xlsx:TabExcretion:10;Nassif2012.xlsx:TabExcretion:12;Nassif2012.xlsx:TabExcretion:13;Nassif2012.xlsx:TabExcretion:15;Nassif2012.xlsx:TabExcretion:16
acetaminophen/Ali1993	PKDB00266	14	missing_time,missing_time_unit	Ali1993.xlsx:Tab1:3;Ali1993.xlsx:Tab1:4;Ali1993.xlsx:Tab1:5;Ali1993.xlsx:Tab1:6;Ali1993.xlsx:Tab1:7
acetaminophen/Borin1989	Borin1989	1	date_from_datetime_parsing	study.json::
acetaminophen/Forfar1980	PKDB00255	55	unknown_intervention	Forfar1980.xlsx:Tab2:3;Forfar1980.xlsx:Tab2:4;Forfar1980.xlsx:Tab2:5;Forfar1980.xlsx:Tab2:6;Forfar1980.xlsx:Tab2:7;Forfar1980.xlsx:Tab2:8;Forfar1980.xlsx:Tab2:9;Forfar1980.xlsx:Tab2:10;Forfar1980.xlsx:Tab2:11;Forfar1980.xlsx:Tab2:12
acetaminophen/GodayArno2017	GodayArno2017	1	invalid_expression	GodayArno2017.xlsx:Tab1:3
acetaminophen/HolmerPettersson2004	PKDB00222	1	invalid_expression	HolmerPettersson2004.xlsx:Tab1:3
acetaminophen/Itoh2000	PKDB00149	1	unknown_measurement	study.json::
acetaminophen/Kamali1992	PKDB00214	1	timecourse_points	Kamali1992.xlsx:Fig1:3
