category			healthy	healthy	species	species	age	age	age	age	age	age	age	age	age	sex	sex	sex	smoking	smoking	smoking	weight	weight	weight	weight	weight	weight	weight	weight	weight	abstinence	abstinence	abstinence	abstinence	abstinence	oral contraceptives	oral contraceptives	ethnicity	ethnicity	medication	medication	disease	disease	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	bmi	bmi	bmi	bmi	bmi	blood pressure	blood pressure	blood pressure	overnight fast	overnight fast	smoking duration (years)	smoking duration (years)	smoking duration (years)	smoking duration (years)	caffeine amount	caffeine amount	caffeine amount	caffeine amount (beverages)	caffeine amount (beverages)	caffeine amount (beverages)	caffeine amount (beverages)	phenotype	phenotype	alcohol abstinence	alcohol abstinence	alcohol abstinence	alcohol abstinence	smoking amount (packyears)	smoking amount (packyears)	smoking amount (packyears)	height	height	height	fasted	fasted	fasted	caffeine	caffeine	alcohol	medication type	medication type	CYP2D6 genotype	CYP2D6 genotype
			choice	count	choice	count	count	cv	max	mean	min	sd	se	unit	value	choice	count	unit	choice	count	unit	count	cv	max	mean	min	sd	se	unit	value	choice	count	min	unit	value	choice	count	choice	count	choice	count	choice	count	count	max	mean	min	unit	value	count	max	mean	min	unit	count	max	unit	choice	count	count	mean	min	unit	count	mean	unit	count	max	unit	value	choice	count	choice	count	unit	value	count	min	unit	count	unit	value	count	unit	value	choice	count	count	choice	count	choice	count
study	subject_pk	subject_name																																																																																										
Abernethy1985	2132	46	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2133	47	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2134	48	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2135	49	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2136	50	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2137	51	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2138	52	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2139	53	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Abernethy1985	2140	54	Y	18	homo sapiens	18	18		30.00	26.00	23.00		1.00	yr		F	18		N	18		9			58.00			3.00	kg		caffeine	18		h	48.00	N	1	('caucasian', 'african')	(8, 1)	N	9																																																			
Akinyinka2000	1626	1C	Y	10	homo sapiens	28	1							yr	40.00	M	1		N	28		1							kg	60.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1627	2C	Y	10	homo sapiens	28	1							yr	28.00	M	1		N	28		1							kg	38.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1628	3C	Y	10	homo sapiens	28	1							yr	39.00	M	1		N	28		1							kg	68.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1629	4C	Y	10	homo sapiens	28	1							yr	42.00	M	1		N	28		1							kg	82.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1630	5C	Y	10	homo sapiens	28	1							yr	37.00	F	1		N	28		1							kg	56.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1631	6C	Y	10	homo sapiens	28	1							yr	23.00	M	1		N	28		1							kg	52.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1632	7C	Y	10	homo sapiens	28	1							yr	33.00	M	1		N	28		1							kg	54.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1633	8C	Y	10	homo sapiens	28	1							yr	18.00	M	1		N	28		1							kg	56.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1634	9C	Y	10	homo sapiens	28	1							yr	29.00	M	1		N	28		1							kg	58.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1635	10C	Y	10	homo sapiens	28	1							yr	32.00	M	1		N	28		1							kg	74.00	kola nuts	10						african	28	N	10																																Y	10																		
Akinyinka2000	1636	1M	N	10	homo sapiens	28	1							yr	15.00	M	1		N	28		1							kg	58.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1637	2M	N	10	homo sapiens	28	1							yr	16.00	M	1		N	28		1							kg	44.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1638	3M	N	10	homo sapiens	28	1							yr	17.00	F	1		N	28		1							kg	75.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1639	4M	N	10	homo sapiens	28	1							yr	18.00	M	1		N	28		1							kg	46.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1640	5M	N	10	homo sapiens	28	1							yr	12.00	F	1		N	28		1							kg	25.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1641	6M	N	10	homo sapiens	28	1							yr	18.00	M	1		N	28		1							kg	58.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1642	7M	N	10	homo sapiens	28	1							yr	15.00	F	1		N	28		1							kg	35.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1643	8M	N	10	homo sapiens	28	1							yr	20.00	F	1		N	28		1							kg	45.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1644	9M	N	10	homo sapiens	28	1							yr	15.00	F	1		N	28		1							kg	35.00								african	28			plasmodium falciparum	10																																																	
Akinyinka2000	1645	10M	N	10	homo sapiens	28	1							yr	12.00	M	1		N	28		1							kg	32.00								african	28			plasmodium falciparum	10																																																	
Backman2008	1662	1	Y	71	homo sapiens	71	38		31.00	23.00	19.00			yr		M	53		N	1	-	38		96.00	78.00	64.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')						N	71									38	28.70	23.40	19.70	kg/m^2	71	110.00	mmHg																																			
Backman2008	1663	2	Y	71	homo sapiens	71	38		31.00	23.00	19.00			yr		M	53		N	1	-	38		96.00	78.00	64.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')						N	71									38	28.70	23.40	19.70	kg/m^2	71	110.00	mmHg																																			
Backman2008	1664	3	Y	71	homo sapiens	71	38		31.00	23.00	19.00			yr		M	53		N	1	-	38		96.00	78.00	64.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')						N	71									38	28.70	23.40	19.70	kg/m^2	71	110.00	mmHg																																			
Backman2008	1665	4	Y	71	homo sapiens	71	38		31.00	23.00	19.00			yr		M	53		N	1	-	38		96.00	78.00	64.00			kg		('grapefruit juice', 'caffeine', 'alcohol')	(71, 71, 71)	('1.00', '18.00', '1.00')	('week', 'h', 'day')						N	71									38	28.70	23.40	19.70	kg/m^2	71	110.00	mmHg																																			
